zone_id,trips_pk_in,trips_pk_out,trips_op_in,trips_op_out,trips_day_in,trips_day_out,transit_trips_pk_in,transit_trips_pk_out,transit_trips_op_in,transit_trips_op_out,transit_trips_day_in,transit_trips_day_out
31,145.25795509999998,215.36644609999996,188.1482113,285.47493710000003,333.40616639999996,500.8413832,1.1167066356908182,2.0458295643286326,11.719028501676412,19.59737529267587,12.83573513736723,21.643204857004502
32,256.0358743,332.1186484,169.983282,2205.2004576,426.01915629999996,2537.319106,3.408172580248554,5.404620134488435,24.340298231817364,198.24271869535943,27.748470812065918,203.64733882984785
33,0.0,679.3960465000001,0.0,946.8905999000002,0.0,1626.2866464000003,0.0,10.339789734713133,0.0,80.16877733160771,0.0,90.50856706632085
34,101.58108790000001,124.7127887,281.78716499999996,732.9973999000001,383.36825289999996,857.7101886000002,0.9553428964487922,3.7043387609427176,37.40764583234732,73.89810927681107,38.36298872879611,77.60244803775379
35,57.0750527,255.3957494,163.02320480000003,501.1758803,220.09825750000005,756.5716297,1.0485078052096255,3.7642743067211106,15.247283789580607,42.04428024475563,16.29579159479023,45.808554551476746
36,345.1079608,121.2091868,502.0569578000001,332.8730028,847.1649186000001,454.0821896,17.066706876116665,4.754703181280805,59.1606464238038,35.93985704679646,76.22735329992047,40.694560228077265
37,0.0,91.7588692,54.7967306,327.1732002,54.7967306,418.9320694,0.0,4.57456112565533,3.4130776118629194,54.571111284775455,3.4130776118629194,59.145672410430784
38,144.3056623,0.0,161.4006196,0.0,305.7062819,0.0,2.5123137450842803,0.0,20.67705456652976,0.0,23.18936831161404,0.0
39,2171.502539,487.97104920000004,3259.913405200001,918.6517549,5431.415944200001,1406.6228041,68.3656465056043,10.691792191924705,336.54745467569325,80.69845750169515,404.9131011812975,91.39024969361985
40,0.0,257.5413244,86.50381999999999,449.98306350000007,86.50381999999999,707.5243879000001,0.0,2.4331867135926344,5.387990271496595,33.468423736087956,5.387990271496595,35.90161044968059
41,118.74177130000001,449.3127911,314.90304460000004,277.7601831,433.6448159,727.0729742000001,3.3423876121201075,7.89699054517683,37.90950356012115,25.535198851562306,41.25189117224126,33.43218939673913
