r,d,t1,t2,s1,s2,n1,n2
424,3,27,28.0,14,14.0,1067,1106.0
424,3,29,37.0,14,13.0,1145,1456.0
424,3,37,44.0,13,18.0,1456,1734.0
424,3,44,50.0,18,29.0,1734,1979.0
425,3,29,37.0,14,13.0,1145,1456.0
425,3,37,44.0,13,18.0,1456,1734.0
425,3,44,50.0,18,29.0,1734,1979.0
426,3,27,28.0,14,14.0,1067,1106.0
426,3,28,29.0,14,14.0,1106,1145.0
426,3,29,37.0,14,13.0,1145,1456.0
426,3,37,44.0,13,18.0,1456,1734.0
426,3,44,50.0,18,29.0,1734,1979.0
427,3,27,28.0,14,14.0,1067,1106.0
427,3,28,29.0,14,14.0,1106,1145.0
427,3,29,37.0,14,13.0,1145,1456.0
427,3,37,44.0,13,18.0,1456,1734.0
427,3,44,50.0,18,29.0,1734,1979.0
428,3,27,28.0,14,14.0,1067,1106.0
429,3,27,28.0,14,14.0,1067,1106.0
429,3,28,29.0,14,14.0,1106,1145.0
430,3,27,28.0,14,14.0,1067,1106.0
430,3,28,29.0,14,14.0,1106,1145.0
430,3,29,37.0,14,13.0,1145,1456.0
430,3,37,44.0,13,18.0,1456,1734.0
430,3,44,50.0,18,29.0,1734,1979.0
431,3,27,28.0,14,14.0,1067,1106.0
431,3,28,29.0,14,14.0,1106,1145.0
432,3,27,28.0,14,14.0,1067,1106.0
432,3,28,29.0,14,14.0,1106,1145.0
432,3,29,37.0,14,13.0,1145,1456.0
432,3,37,44.0,13,18.0,1456,1734.0
432,3,44,50.0,18,29.0,1734,1979.0
462,3,18.0,27.0,15.0,14.0,717.0,1067.0
462,6,27,28.0,14,14.0,1067,1106.0
462,6,28,29.0,14,14.0,1106,1145.0
462,3,29,37.0,14,13.0,1145,1456.0
463,3,18.0,27.0,15.0,14.0,717.0,1067.0
463,3,28,29.0,14,14.0,1106,1145.0
464,3,18.0,27.0,15.0,14.0,717.0,1067.0
464,3,27,28.0,14,14.0,1067,1106.0
464,3,28,29.0,14,14.0,1106,1145.0
561,3,9.0,18.0,19.0,15.0,370.0,717.0
561,3,18,27.0,15,14.0,717,1067.0
562,3,9.0,18.0,19.0,15.0,370.0,717.0
