onX,onY,schOnTime,offX,offY,schOffTime,bookedTime,Counts
-86.45231628,42.10295868,0.340277778,-86.48586273,42.08056641,0.34375,0.339583333,1
-86.44384003,42.10657501,0.340277778,-86.49716949,42.07513046,0.34375,0.338888889,1
-86.45331573,42.11309814,0.340277778,-86.42191315,42.08197784,0.347222222,0.338888889,1
-86.42594147,42.08149338,0.340277778,-86.42532349,42.07723618,0.34375,0.339583333,1
-86.48154449,42.10648727,0.347222222,-86.4909,42.0821,0.350694444,0.345138889,1
-86.41814423,42.10895157,0.347222222,-86.42191315,42.08197784,0.350694444,0.344444444,1
-86.43601227,42.11438751,0.350694444,-86.41099548,42.10848618,0.354166667,0.35,1
-86.45561981,42.08857346,0.350694444,-86.45394135,42.11663437,0.354166667,0.348611111,1
-86.44612122,42.12427902,0.350694444,-86.45744324,42.11085892,0.354166667,0.349305556,1
-86.44612122,42.12427902,0.350694444,-86.45744324,42.11085892,0.354166667,0.451388889,1
-86.45239258,42.1158905,0.354166667,-86.43399811,42.11748505,0.357638889,0.592361111,1
-86.42191315,42.08197784,0.354166667,-86.42594147,42.08149338,0.357638889,0.352083333,1
-86.39923096,42.12891006,0.357638889,-86.42016602,42.08539581,0.361111111,0.354166667,1
-86.45239258,42.1158905,0.361111111,-86.43399811,42.11748505,0.364583333,0.359722222,1
-86.43515015,42.11426163,0.361111111,-86.43787384,42.07007217,0.364583333,0.357638889,1
-86.431633,42.09018707,0.361111111,-86.42191315,42.08197784,0.364583333,0.359027778,1
-86.48298645,42.1085968,0.364583333,-86.4843,42.0812,0.371527778,0.56875,1
-86.50134277,42.08172989,0.364583333,-86.4682,42.1126,0.375,0.56875,1
-86.45907593,42.09699249,0.364583333,-86.423,42.1014,0.368055556,0.3625,1
-86.4535,42.1026,0.364583333,-86.48178864,42.11087799,0.375,0.56875,1
-86.44981384,42.09771347,0.364583333,-86.4242,42.0856,0.368055556,0.363194444,1
-86.39118958,42.10461044,0.364583333,-86.4839,42.0809,0.375,0.363888889,1
-86.43544769,42.11432266,0.368055556,-86.42881012,42.07431412,0.375,0.367361111,1
-86.44457245,42.09775162,0.368055556,-86.3956,42.0901,0.375,0.365277778,1
-86.44457245,42.09775162,0.368055556,-86.3956,42.0901,0.375,0.514583333,1
-86.44485474,42.09089661,0.368055556,-86.42191315,42.08197784,0.371527778,0.365277778,1
-86.4598,42.1099,0.368055556,-86.43538666,42.09188461,0.371527778,0.365277778,1
-86.48298645,42.1085968,0.375,-86.4548,42.1149,0.378472222,0.595138889,1
-86.4535,42.1026,0.375,-86.45571899,42.1131897,0.385416667,0.56875,1
-86.43971252,42.08915329,0.375,-86.3929,42.0972,0.385416667,0.56875,1
-86.4568,42.1072,0.375,-86.3956,42.0901,0.378472222,0.371527778,1
-86.44572449,42.10135651,0.375,-86.3956,42.0901,0.378472222,0.334722222,1
-86.44335175,42.11556244,0.375,-86.44496918,42.09268188,0.378472222,0.373611111,1
-86.43442535,42.11437988,0.375,-86.45239258,42.1158905,0.378472222,0.374305556,1
-86.45103455,42.10117722,0.375,-86.4589,42.0476,0.381944444,0.373611111,1
-86.45789337,42.1099968,0.375,-86.452034,42.11642075,0.381944444,0.248611111,1
-86.43395996,42.1149826,0.378472222,-86.42191315,42.08197784,0.385416667,0.376388889,1
-86.44549561,42.09552002,0.378472222,-86.41996002,42.0838623,0.381944444,0.376388889,1
-86.44068146,42.09889603,0.378472222,-86.47682953,42.10961151,0.381944444,0.375694444,1
-86.4112,42.0897,0.381944444,-86.41622925,42.13280106,0.385416667,0.380555556,1
-86.44555664,42.13696289,0.381944444,-86.43399811,42.11748505,0.388888889,0.382638889,1
-86.45341492,42.13239288,0.381944444,-86.45722961,42.10243988,0.385416667,0.378472222,1
-86.41117096,42.13207245,0.385416667,-86.43399811,42.11748505,0.388888889,0.383333333,1
-86.42971039,42.08172607,0.388888889,-86.47724152,42.11014938,0.395833333,0.3875,1
-86.43399811,42.11748505,0.392361111,-86.45239258,42.1158905,0.395833333,0.389583333,1
-86.4301,42.0927,0.395833333,-86.44102478,42.08664703,0.399305556,0.395138889,1
-86.48290253,42.10858154,0.395833333,-86.4843,42.0812,0.40625,0.56875,1
-86.44927979,42.09702301,0.395833333,-86.41235352,42.09027863,0.40625,0.736805556,1
-86.43138123,42.09341049,0.395833333,-86.48252869,42.11005402,0.399305556,0.392361111,1
-86.41550446,42.11796188,0.395833333,-86.4242,42.0856,0.399305556,0.394444444,1
-86.42532349,42.07723618,0.395833333,-86.44719696,42.11921692,0.399305556,0.39375,1
-86.42532349,42.07723618,0.395833333,-86.42594147,42.08149338,0.399305556,0.39375,1
-86.45462036,42.13264084,0.395833333,-86.43565369,42.10214615,0.399305556,0.395138889,1
-86.45552826,42.08420563,0.395833333,-86.464,42.1084,0.402777778,0.394444444,1
-86.452,42.1165,0.395833333,-86.452034,42.11642075,0.40625,0.527083333,1
-86.42828369,42.11942291,0.399305556,-86.4315567,42.0846138,0.402777778,0.395833333,1
-86.4598,42.1099,0.399305556,-86.43538666,42.09188461,0.402777778,0.396527778,1
-86.47682953,42.10961151,0.402777778,-86.44068146,42.09889603,0.40625,0.4,1
-86.43054199,42.09942245,0.402777778,-86.4319,42.0864,0.409722222,0.402083333,1
-86.43054199,42.09942245,0.402777778,-86.4319,42.0864,0.409722222,0.4625,1
-86.4589,42.0476,0.402777778,-86.45103455,42.10117722,0.40625,0.402083333,1
-86.4577,42.11,0.402777778,-86.43724823,42.08919525,0.40625,0.401388889,1
-86.48298645,42.1085968,0.40625,-86.4843,42.0812,0.409722222,0.593055556,1
-86.46231842,42.10018921,0.40625,-86.43538666,42.09188461,0.409722222,0.405555556,1
-86.45450592,42.10108948,0.409722222,-86.436,42.0816,0.413194444,0.40625,1
-86.43565369,42.10214615,0.409722222,-86.40882111,42.09679794,0.413194444,0.40625,1
-86.4307251,42.08400345,0.409722222,-86.42192841,42.07936096,0.413194444,0.408333333,1
-86.46191406,42.09155273,0.413194444,-86.42364502,42.07917023,0.416666667,0.411805556,1
-86.44736481,42.09788132,0.413194444,-86.43565369,42.10214615,0.416666667,0.411805556,1
-86.44927979,42.09702301,0.416666667,-86.41235352,42.09027863,0.416666667,0.411111111,1
-86.44130707,42.11634445,0.416666667,-86.4841,42.0902,0.416666667,0.39375,1
-86.44490814,42.09630966,0.416666667,-86.4372,42.1181,0.427083333,0.56875,1
-86.45243835,42.11595917,0.416666667,-86.43442535,42.11437988,0.416666667,0.4125,1
-86.43399811,42.11748505,0.416666667,-86.41117096,42.13207245,0.420138889,0.411805556,1
-86.4114,42.1064,0.416666667,-86.42191315,42.08197784,0.420138889,0.407638889,1
-86.44313049,42.11805344,0.420138889,-86.43509674,42.08736801,0.423611111,0.418055556,1
-86.47724152,42.11014938,0.420138889,-86.4484787,42.10889435,0.423611111,0.416666667,1
-86.43643188,42.08872223,0.420138889,-86.44315338,42.09380341,0.423611111,0.418055556,1
-86.45394135,42.11663437,0.420138889,-86.44844818,42.09255219,0.423611111,0.41875,1
-86.452,42.1165,0.420138889,-86.452034,42.11642075,0.430555556,0.525,1
-86.4789,42.1098,0.423611111,-86.4297,42.0817,0.427083333,0.420833333,1
-86.48884583,42.09878159,0.423611111,-86.48628998,42.08390427,0.427083333,0.422222222,1
-86.41178894,42.12326813,0.423611111,-86.41996002,42.0838623,0.427083333,0.422222222,1
-86.45555115,42.13072968,0.423611111,-86.44107819,42.11476517,0.430555556,0.41875,1
-86.42971039,42.08172607,0.423611111,-86.4815,42.1054,0.427083333,0.422222222,1
-86.48298645,42.1085968,0.427083333,-86.4843,42.0812,0.4375,0.56875,1
-86.41880798,42.07916641,0.427083333,-86.44248962,42.09713745,0.430555556,0.425694444,1
-86.43128967,42.1193161,0.427083333,-86.44512177,42.08012009,0.430555556,0.425,1
-86.44612122,42.12427902,0.427083333,-86.4564743,42.10794449,0.430555556,0.426388889,1
-86.452034,42.11642075,0.427083333,,,0.430555556,0.426388889,1
-86.44612122,42.12427902,0.427083333,-86.43738556,42.12194824,0.427083333,0.429861111,1
-86.41685486,42.08301163,0.430555556,-86.43565369,42.10214615,0.434027778,0.427083333,1
-86.43643188,42.08872223,0.430555556,-86.4564743,42.10794449,0.434027778,0.428472222,1
-86.46450806,42.10650635,0.430555556,-86.43509674,42.08736801,0.434027778,0.427083333,1
-86.43978882,42.11476517,0.434027778,-86.46349335,42.0760994,0.4375,0.430555556,1
-86.45548248,42.0860939,0.434027778,-86.4442,42.1463,0.4375,0.43125,1
-86.4318,42.119,0.4375,-86.4589,42.0476,0.46875,0.56875,1
-86.44062805,42.12367249,0.440972222,-86.4209,42.0807,0.444444444,0.438194444,1
-86.44062805,42.12367249,0.440972222,-86.4209,42.0807,0.444444444,0.520833333,1
-86.4535,42.1026,0.447916667,-86.48178864,42.11087799,0.458333333,0.56875,1
-86.45179749,42.09391403,0.447916667,-86.4831,42.1052,0.451388889,0.446527778,1
-86.42364502,42.07917023,0.447916667,-86.46191406,42.09155273,0.451388889,0.444444444,1
-86.46231842,42.10018921,0.451388889,-86.43538666,42.09188461,0.454861111,0.447916667,1
-86.41197205,42.12291718,0.454861111,-86.47973633,42.11115265,0.458333333,0.452777778,1
-86.40882111,42.09679794,0.454861111,-86.4418,42.1024,0.458333333,0.452083333,1
-86.4548,42.1149,0.458333333,-86.48298645,42.1085968,0.461805556,0.595138889,1
-86.4843,42.0812,0.458333333,-86.45561981,42.08857346,0.46875,0.56875,1
-86.4843,42.0812,0.458333333,-86.45561981,42.08857346,0.46875,0.56875,1
-86.45509338,42.13072968,0.458333333,-86.3956,42.0901,0.461805556,0.45,1
-86.45683289,42.1072731,0.458333333,-86.3956,42.0901,0.465277778,0.406944444,1
-86.454,42.0992,0.458333333,-86.4587,42.0475,0.461805556,0.45625,1
-86.42868042,42.11538696,0.458333333,-86.45335388,42.13239288,0.461805556,0.455555556,1
-86.4417038,42.11796188,0.458333333,-86.43509674,42.08736801,0.461805556,0.457638889,1
-86.40882111,42.09679794,0.461805556,-86.47682953,42.10961151,0.465277778,0.459027778,1
-86.43785095,42.09950256,0.461805556,-86.47724152,42.11014938,0.465277778,0.459027778,1
-86.42532349,42.07723618,0.461805556,-86.44612122,42.12427902,0.465277778,0.459722222,1
-86.452,42.1165,0.461805556,-86.452034,42.11642075,0.472222222,0.527083333,1
-86.46044922,42.08220673,0.465277778,-86.45864105,42.1156044,0.46875,0.4625,1
-86.43971252,42.08915329,0.465277778,-86.43565369,42.10214615,0.46875,0.4625,1
-86.46141052,42.0922699,0.465277778,-86.44612122,42.12427902,0.46875,0.463194444,1
-86.4587,42.0475,0.46875,-86.4598,42.1099,0.472222222,0.467361111,1
-86.42532349,42.07723618,0.46875,-86.43029785,42.10878372,0.472222222,0.465277778,1
-86.4841,42.0902,0.46875,-86.44130707,42.11634445,0.472222222,0.468055556,1
-86.452034,42.11642075,0.472222222,-86.44755554,42.13118362,0.475694444,0.46875,1
-86.4909,42.0821,0.472222222,-86.48154449,42.10648727,0.475694444,0.470138889,1
-86.44981384,42.09730148,0.472222222,-86.42191315,42.08197784,0.475694444,0.471527778,1
-86.43735504,42.11418533,0.472222222,-86.45744324,42.11085892,0.475694444,0.470833333,1
-86.4548,42.1149,0.475694444,-86.48290253,42.10858154,0.479166667,0.56875,1
-86.43565369,42.10214615,0.475694444,-86.44736481,42.09788132,0.479166667,0.473611111,1
-86.46616364,42.07206726,0.475694444,-86.42532349,42.07723618,0.479166667,0.473611111,1
-86.44686127,42.09824371,0.475694444,-86.481,42.1091,0.479166667,0.473611111,1
-86.42562866,42.08282471,0.475694444,-86.44001007,42.12368011,0.479166667,0.475,1
-86.42562866,42.08282471,0.475694444,-86.44001007,42.12368011,0.479166667,0.4625,1
-86.452,42.1165,0.479166667,-86.452034,42.11642075,0.489583333,0.527083333,1
-86.43003845,42.11537933,0.482638889,-86.41897583,42.08199692,0.486111111,0.479861111,1
-86.46096802,42.06013107,0.486111111,-86.44622803,42.10564041,0.489583333,0.484027778,1
-86.43643188,42.08872223,0.486111111,-86.44686127,42.10495377,0.489583333,0.484722222,1
-86.45394135,42.11663437,0.489583333,-86.43964386,42.11709976,0.493055556,0.486805556,1
-86.44844818,42.09255219,0.489583333,-86.45394135,42.11663437,0.493055556,0.488194444,1
