"emp1","emp2","emp3","emp4","emp5"
955,435,930,985,1495
955,955,715,985,660
1125,1145,985,1715,1875
1715,1875,1065,985,930
930,1875,1040,650,655
985,655,985,930,1065
1715,1875,1040,1065,650
670,760,760,985,1405
745,760,760,670,680
1065,530,1125,955,1875
1040,655,590,1380,1125
1125,930,700,930,715
110,100,85,170,279
955,930,1065,650,1875
985,1090,955,655,655
530,655,1125,930,650
985,655,1875,1380,930
19,291,100,609,2201
415,1090,985,1090,1040
1380,985,915,740,875
435,985,1715,985,915
100,100,100,100,100
690,1095,860,740,1090
1065,1495,985,1895,1715
715,1895,1895,1510,985
655,955,740,945,1090
1950,655,1400,1950,945
655,930,1510,1715,1510
447,129,100,152,271
17,314,1491,100,452
609,455,100,203,129
655,1805,1090,740,1495
1540,1090,630,955,655
1715,740,740,1090,1950
955,985,930,740,945
1065,930,1065,1895,1875
1950,520,655,520,1495
1875,740,655,1875,1095
1045,1875,1040,715,905
1040,1065,435,520,1875
100,100,100,100,100
1510,630,340,655,1195
1895,985,1495,1065,1510
124,203,100,85,163
100,129,13,632,279
1510,655,715,930,1045
1495,1805,1875,1510,955
930,740,1510,675,985
740,1090,715,930,435
930,955,715,1090,1090
435,740,715,1895,740
740,1090,655,435,435
985,1895,955,660,985
740,740,955,715,655
715,1090,985,1895,955
655,955,1090,740,930
1895,660,740,1090,930
1125,655,1065,690,1875
985,905,1125,1095,690
930,930,1510,955,580
945,655,1950,690,930
1090,1125,985,1090,1715
1715,1090,1065,1125,1125
530,1380,1090,930,1715
655,1040,930,650,1125
590,955,1380,1090,1040
530,1715,590,1875,655
985,655,1875,985,440
985,655,1875,985,440
100,2975,246,6,56
985,490,1125,985,655
690,985,1875,1125,985
1715,985,1125,690,985
291,2201,100,19,13
100,19,20,193,314
100,4057,158,75,68
1716,163,271,100,185
6,19,152,100,291
1095,910,1065,1125,740
1090,1875,1875,1095,1495
1875,955,1090,715,1125
1095,2350,1510,955,655
715,1875,1510,955,1125
1065,1065,1125,955,650
1195,490,1195,655,1715
985,1125,700,1065,1715
690,1125,1875,690,655
650,955,1090,985,1065
1065,1125,985,1065,1715
985,655,1065,655,1125
1510,715,1065,1510,655
1510,1065,655,985,1125
1125,1095,715,1065,1510
715,1065,985,1510,1095
985,1065,1540,2350,1045
1875,955,1125,1875,1065
910,1875,955,1875,1045
1875,655,2350,930,1095
715,1875,930,910,955
905,985,1090,985,1065
1116,1491,105,100,2975
69,100,447,32,69
100,100,100,100,100
1125,1125,1405,875,985
1715,1065,1125,930,715
68,203,100,69,352
769,632,90,100,56
740,1045,1875,955,1510
1715,1805,1895,1095,955
655,1090,1125,1065,985
1715,1065,1065,715,930
100,13,855,13,314
143,352,193,100,93
4057,100,13,170,1304
1510,985,1215,985,1895
955,740,1875,1065,1095
1510,1090,1045,740,1045
820,1095,580,585,1095
1095,1875,1040,580,1195
740,340,955,550,1875
1095,550,580,1040,1195
955,1095,1125,550,1875
985,1805,1715,910,1090
1095,1095,1540,740,1090
740,1025,985,740,1040
1040,740,1510,1895,1895
985,655,1025,1875,1510
655,740,1510,740,1895
1040,1510,1040,985,1875
820,1195,580,340,1095
1040,1040,580,1125,1875
340,1875,1195,340,1095
820,1195,1875,585,340
1040,585,340,820,1875
1195,585,985,820,1040
340,1195,580,740,585
655,655,1875,985,440
985,955,1495,590,1875
740,590,985,985,930
1090,905,985,955,875
1875,1090,955,1270,1125
1875,1125,985,1090,1090
745,1895,1895,910,1405
1715,955,1065,955,440
1875,1090,2350,875,955
955,1405,1090,2350,1090
985,1875,1125,2350,905
1125,1090,2350,985,1405
1875,1090,1125,875,905
1090,1875,440,1270,1090
