,dist1,dist2,dist3,dist4,dist5
201,6.11,6.11,7.57,10.6,6.85
202,4.89,8.7,3.51,5.87,7.039999999999999
203,4.13,6.56,2.5500000000000003,3.46,10.729999999999999
204,6.56,15.549999999999999,3.51,5.74,17.279999999999998
205,14.44,3.7800000000000002,5.029999999999999,4.93,3.97
206,5.24,5.029999999999999,4.93,5.029999999999999,6.83
207,9.05,3.6100000000000003,3.6100000000000003,8.29,13.190000000000001
208,15.360000000000001,11.690000000000001,5.99,2.11,7.47
209,9999.0,12.93,8.1,0.0,8.62
210,9.659999999999998,0.0,1.9,3.3099999999999996,4.54
211,8.139999999999999,5.67,0.0,1.9,9.659999999999998
212,3.0700000000000003,4.98,4.970000000000001,3.24,4.7
213,18.52,9999.0,10.34,10.34,3.77
214,5.66,0.0,5.9399999999999995,4.48,5.93
215,5.9399999999999995,5.9399999999999995,4.48,5.66,0.0
216,5.66,10.89,5.93,5.9399999999999995,5.66
217,15.0,7.24,4.69,3.37,9999.0
218,6.32,10.340000000000002,3.37,8.67,9999.0
219,4.48,4.48,0.0,6.9399999999999995,10.89
220,4.48,4.48,5.66,10.89,5.9399999999999995
221,7.57,7.56,4.03,11.74,10.6
222,9999.0,7.07,2.86,7.07,4.260000000000001
223,6.9399999999999995,5.93,0.0,6.9399999999999995,5.9399999999999995
224,3.6100000000000003,3.5599999999999996,2.48,2.94,3.6100000000000003
225,6.59,2.48,2.94,6.59,3.5599999999999996
226,9999.0,3.77,10.34,0.0,18.52
227,8.88,0.0,8.92,6.99,4.47
228,9.459999999999999,8.92,3.76,4.47,3.76
229,8.88,5.71,0.0,3.76,8.92
230,8.92,6.38,5.71,9999.0,6.99
231,3.76,9999.0,3.76,0.0,8.92
232,6.38,3.76,0.0,3.76,5.71
233,0.0,13.809999999999999,5.71,8.88,13.809999999999999
234,9999.0,6.38,0.0,3.76,5.71
235,7.57,4.03,10.6,10.6,11.74
236,3.6100000000000003,3.5599999999999996,2.99,2.99,2.94
237,2.94,2.99,6.09,3.6100000000000003,1.75
238,7.24,3.37,7.24,8.930000000000001,8.67
239,7.24,15.0,4.69,8.930000000000001,10.340000000000002
240,8.67,9.360000000000001,3.37,6.32,4.69
241,3.76,3.76,9.459999999999999,13.809999999999999,9999.0
242,13.809999999999999,8.92,9999.0,3.76,6.99
243,10.79,12.12,9.059999999999999,9999.0,10.79
244,10.79,10.79,15.729999999999999,12.12,9.75
245,8.92,6.38,3.76,3.33,3.76
246,6.38,8.92,8.88,3.76,9999.0
247,3.76,13.809999999999999,7.92,5.71,6.38
248,11.96,11.96,8.53,16.29,6.05
249,8.53,16.29,6.07,8.53,19.32
250,7.76,7.76,6.47,3.44,0.0
251,2.36,7.76,7.76,2.41,0.0
252,2.41,2.36,2.41,3.44,0.0
253,5.300000000000001,7.359999999999999,5.739999999999999,9999.0,7.07
254,5.300000000000001,7.07,9999.0,5.739999999999999,4.6
255,3.33,9999.0,9.459999999999999,3.33,7.92
256,5.71,13.809999999999999,3.33,0.0,13.809999999999999
