"dat_id","per_id","age","gender","income","lic","mode","purpose","X","geoid_o","sampno","deptime","geoid_d","zid","arrtime","dist","autoivtt","darivtt","walktt","costauto","sharedridecost","darefare","busfare","buswaitt","bustt","u_perid","emp","child16","hh_auto","PERRKWT0"
3,205130905,4,1,5,2,1,15,15,260210007001,2051309,"4/30/2015 9:30",260210005001,260000000000,"4/30/2015 9:50",0.92,1.38,1.577142857,15.77142857,0.552,0.2208,2.092,1.046,-99999,2.208,1,6,-99999,3,106.7591409
3,205218101,4,2,5,1,5,14,14,260270015001,2052181,"5/6/2015 16:30",260210015001,260000000000,"5/6/2015 17:15",32.26,48.39,55.30285714,553.0285714,19.356,7.7424,5.226,2.613,-99999,77.424,0,1,-99999,2,36.5258355
3,205218102,4,1,5,1,4,14,14,260270015001,2052181,"5/6/2015 16:30",260210015001,260000000000,"5/6/2015 17:15",32.26,48.39,55.30285714,553.0285714,19.356,7.7424,5.226,2.613,-99999,77.424,0,1,-99999,2,52.099222
3,205335802,4,1,6,1,4,3,3,260210008001,2053358,"4/30/2015 7:30",260210025002,260000000000,"4/30/2015 7:40",4.35,6.525,7.457142857,74.57142857,2.61,1.044,2.435,1.2175,-99999,10.44,1,2,-99999,2,66.3992564
3,205366302,4,1,5,1,4,3,3,260210201002,2053663,"5/5/2015 5:30",260210024002,260000000000,"5/5/2015 5:50",23.46,35.19,40.21714286,402.1714286,14.076,5.6304,4.346,2.173,-99999,56.304,0,0,-99999,3,134.4425922
3,205982701,4,1,1,1,4,17,17,260210021003,2059827,"4/27/2015 13:00",261590114001,262000000000,"4/27/2015 13:35",15.8,23.7,27.08571429,270.8571429,9.48,3.792,3.58,1.79,-99999,37.92,0,1,-99999,1,120.0199222
3,206245403,4,1,7,1,4,3,3,260210014001,2062454,"4/27/2015 11:07",260210014002,260000000000,"4/27/2015 11:14",2.55,3.825,4.371428571,43.71428571,1.53,0.612,2.255,1.1275,-99999,6.12,0,0,-99999,2,65.8264498
3,206245403,4,1,7,1,4,3,3,260210014001,2062454,"4/27/2015 17:34",260210014002,260000000000,"4/27/2015 17:42",2.55,3.825,4.371428571,43.71428571,1.53,0.612,2.255,1.1275,-99999,6.12,0,0,-99999,2,65.8264498
3,206255001,4,2,7,1,4,9,9,260210014001,2062550,"5/12/2015 16:30",260210014003,260000000000,"5/12/2015 16:38",3.31,4.965,5.674285714,56.74285714,1.986,0.7944,2.331,1.1655,-99999,7.944,0,2,-99999,3,82.5449919
3,206255003,1,1,7,-99999,5,9,9,260210014001,2062550,"5/12/2015 16:30",260210014003,260000000000,"5/12/2015 16:38",3.31,4.965,5.674285714,56.74285714,1.986,0.7944,2.331,1.1655,-99999,7.944,0,-99999,-99999,3,81.6084261
3,206255004,1,1,7,-99999,5,9,9,260210014001,2062550,"5/12/2015 16:30",260210014003,260000000000,"5/12/2015 16:38",3.31,4.965,5.674285714,56.74285714,1.986,0.7944,2.331,1.1655,-99999,7.944,0,-99999,-99999,3,81.6084261
3,207375601,4,2,5,1,4,3,3,260210008002,2073756,"5/4/2015 8:12",260210004002,260000000000,"5/4/2015 8:20",2.45,3.675,4.2,42,1.47,0.588,2.245,1.1225,-99999,5.88,1,0,-99999,1,87.4630421
3,207375601,4,2,5,1,4,3,3,260210008002,2073756,"5/4/2015 12:50",260210004002,260000000000,"5/4/2015 13:00",2.45,3.675,4.2,42,1.47,0.588,2.245,1.1225,-99999,5.88,0,0,-99999,1,87.4630421
3,207456501,4,1,5,1,4,5,5,260210014001,2074565,"4/20/2015 8:30",260210018002,260000000000,"4/20/2015 8:45",2.8,4.2,4.8,48,1.68,0.672,2.28,1.14,-99999,6.72,1,0,-99999,2,55.6440302
3,207456502,4,2,5,1,4,13,13,260210014001,2074565,"4/20/2015 8:00",260210003001,260000000000,"4/20/2015 8:15",8.73,13.095,14.96571429,149.6571429,5.238,2.0952,2.873,1.4365,-99999,20.952,1,0,-99999,2,62.6948349
3,207456502,4,2,5,1,4,16,16,260210014001,2074565,"4/20/2015 18:30",260210014001,260000000000,"4/20/2015 18:35",1.29,1.935,2.211428571,22.11428571,0.774,0.3096,2.129,1.0645,-99999,3.096,0,0,-99999,2,62.6948349
