"dat_id","per_id","age","gender","income","lic","mode","purpose","X","geoid_o","sampno","deptime","geoid_d","zid","arrtime","dist","autoivtt","darivtt","walktt","costauto","sharedridecost","darefare","busfare","buswaitt","bustt","u_perid","emp","child16","hh_auto","dist1","dist2","dist3","dist4","dist5","emp1","emp2","emp3","emp4","emp5","geoid1","geoid2","geoid3","geoid4","geoid5"
3,204713201,4,2,-7,1,4,17,17,260210006003,2047132,"5/11/2015 17:50",260210021003,260000000000,"5/11/2015 18:00",3.02,4.53,5.177142857,51.77142857,1.812,0.7248,2.302,1.151,-99999,7.248,0,0,-99999,1,1.45,23.02,3.02,13.28,4,1400,945,985,690,955,260210003001,260210116001,260210021003,260210111001,260210024002
3,204713202,3,1,-7,1,7,6,6,260210006003,2047132,"5/11/2015 6:50",260210004002,260000000000,"5/11/2015 7:15",1.17,1.755,2.005714286,20.05714286,0.702,0.2808,2.117,1.0585,-99999,2.808,0,5,-99999,1,1.10333333333333,1.10333333333333,2.052,2.07,10.025,655,655,1715,930,1950,260210004002,260210004002,260210020003,260210009001,260210106001
3,204713203,2,2,-7,-99999,7,6,6,260210006003,2047132,"5/11/2015 8:00",260210003001,260000000000,"5/11/2015 8:30",1.45,2.175,2.485714286,24.85714286,0.87,0.348,2.145,1.0725,-99999,3.48,1,-99999,-99999,1,13.28,1.45,1.45,4,4.76,690,1400,1400,955,1090,260210111001,260210003001,260210003001,260210024002,260210018002
3,205130901,4,1,5,1,4,4,4,260210007001,2051309,"4/30/2015 8:30",260210020001,260000000000,"4/30/2015 14:20",8.44,12.66,14.46857143,144.6857143,5.064,2.0256,2.844,1.422,-99999,20.256,1,0,-99999,3,0.92,8.44,8.19,1.93,30.5,1380,660,1875,1715,855,260210005001,260210020001,260210016001,260210020003,260270021003
3,205130901,4,1,5,1,4,4,4,260210007001,2051309,"4/30/2015 18:15",260270021003,260000000000,"4/30/2015 19:00",30.5,45.75,52.28571429,522.8571429,18.3,7.32,5.05,2.525,-99999,73.2,0,0,-99999,3,1.93,30.5,7.115,0.16,30.5,1715,855,955,580,855,260210020003,260270021003,260210024002,260210007002,260270021003
3,205130904,4,1,5,2,1,14,14,260210007001,2051309,"4/30/2015 11:35",260210006003,260000000000,"4/30/2015 11:45",0.24,0.36,0.411428571,4.114285714,0.144,0.0576,2.024,1.012,-99999,0.576,0,6,-99999,3,0.24,2.22714285714286,8.44,0.16,1.93,415,985,660,580,1715,260210006003,260210021003,260210020001,260210007002,260210020003
3,205130905,4,1,5,2,1,15,15,260210007001,2051309,"4/30/2015 9:30",260210005001,260000000000,"4/30/2015 9:50",0.92,1.38,1.577142857,15.77142857,0.552,0.2208,2.092,1.046,-99999,2.208,1,6,-99999,3,2.33,0.92,1.93,0.92,2.98,435,1380,1715,1380,590,260210021001,260210005001,260210020003,260210005001,260210009002
3,205218101,4,2,5,1,5,14,14,260270015001,2052181,"5/6/2015 16:30",260210015001,260000000000,"5/6/2015 17:15",32.26,48.39,55.30285714,553.0285714,19.356,7.7424,5.226,2.613,-99999,77.424,0,1,-99999,2,5,5,5,5,5,100,100,100,100,100,0,0,0,0,0
3,205218102,4,1,5,1,4,14,14,260270015001,2052181,"5/6/2015 16:30",260210015001,260000000000,"5/6/2015 17:15",32.26,48.39,55.30285714,553.0285714,19.356,7.7424,5.226,2.613,-99999,77.424,0,1,-99999,2,5,5,5,5,5,100,100,100,100,100,0,0,0,0,0
3,205335802,4,1,6,1,4,3,3,260210008001,2053358,"4/30/2015 7:30",260210025002,260000000000,"4/30/2015 7:40",4.35,6.525,7.457142857,74.57142857,2.61,1.044,2.435,1.2175,-99999,10.44,1,2,-99999,2,4.35,1.465,3.94666666666667,4.39,4.35,1125,655,1715,985,1125,260210025002,260210004002,260210020003,260210021003,260210025002
3,205366302,4,1,5,1,4,3,3,260210201002,2053663,"5/5/2015 5:30",260210024002,260000000000,"5/5/2015 5:50",23.46,35.19,40.21714286,402.1714286,14.076,5.6304,4.346,2.173,-99999,56.304,0,0,-99999,3,5,5,5,5,5,100,100,100,100,100,0,0,0,0,0
