"dist1","dist2","dist3","dist4","dist5"
7.4,9.81,2.52714285714286,1.22,2.52714285714286
9.81,7.4,7.81,2.52714285714286,26.03
2.52714285714286,9.89333333333333,3.765,2.76,9.81
4.33,4.33,7.39,11.595,8.39
7.39,11.595,5.02,7.39,14.61
5.875,5.875,2.3525,3.395,5.81
3.585,5.875,5.875,3.55,5.81
3.55,3.585,3.55,3.395,5.81
5.38,8.06,1.84,25.89,4.07
5.38,4.07,20.93,1.84,4.93
1.22,30.66,9.31,1.22,3.765
2.76,9.89333333333333,1.22,4.41,9.89333333333333
5.875,2.3525,3.55,5.81,3.585
5.875,3.55,2.3525,1.22333333333333,1.22333333333333
3.585,5.875,3.55,1.22333333333333,5.81
2.3525,3.55,2.3525,3.585,5.875
3.585,3.395,2.3525,3.585,5.875
3.395,2.3525,1.22333333333333,5.81,5.875
1.22333333333333,1.22333333333333,2.3525,5.875,5.81
5.875,3.55,3.585,5.81,3.395
1.22333333333333,3.55,2.3525,5.81,3.585
3.585,1.22333333333333,5.875,1.22333333333333,2.3525
1.22333333333333,5.875,3.585,5.81,3.585
2.04,4.83333333333333,1.67,1.71,1.16
2.21,2.04,6.335,4.83333333333333,2.75
7.05,6.335,7.62,5.25,55.95
7.05,1.67,5.75666666666667,2.91,55.95
55.95,5.25,7.05,7.05,7.62
7.62,2.75,5.98,2.75,5.25
8.59,5.69,5.34,5.34,4.52
9.87,68.42,3.23,10.04,5.69
6.08,68.42,5.69,6.9,7.65
10.04,10.04,6.08,9.87,68.42
4.01666666666667,5.95,2.21,2.75,2.91
4.01666666666667,7.62,2.75,55.95,5.75666666666667
6.335,4.705,6.335,7.62,5.25
5.98,1.16,7.05,4.01666666666667,55.95
2.21,5.98,2.755,5.25,1.67
2.91,55.95,5.75666666666667,5.25,4.01666666666667
2.755,4.01666666666667,5.75666666666667,2.04,1.16
1.16,4.83333333333333,2.91,2.75,7.05
7.07333333333333,8.53,7.07333333333333,7.98,2.62666666666667
2.055,7.07333333333333,6.53,2.62666666666667,1.16666666666667
2.62666666666667,3.04,6.05,7.98,7.07333333333333
2.62666666666667,6.05,23.15,23.15,2.055
5.17,1.28,0.43,8.39666666666667,0.43
1.35,4.68,5.17,0.43,2.35
0.55,14.65,5.17,2.87,2.75
4.07,0.43,6.44,4.07,4.93
4.93,8.06,5.84,4.51,25.89
25.89,4.07,20.93,5.84,0.43
16.02967273,13.35602032,15.28837911,6.732509673,8.207647958
9.373050245,11.07143424,14.18734814,6.732509673,12.22962982
23.15,8.53,6.05,6.53,2.62666666666667
7.07333333333333,3.04,6.53,7.98,2.62666666666667
6.83,2.73,3.82,0.485,3.82
3.48,0.485,2.73,3.82,6.83
9.817489592,11.9497956,10.62216383,2.124677109,7.187226312
9.817489592,4.18163589,14.93046349,13.84324518,10.96147848
7.07333333333333,9.66666666666667,2.055,9.66666666666667,6.53
2.055,8.53,3.04,7.07333333333333,6.05
1.94,3.82,2.01,0.61,2.60333333333333
1.94,2.73,2.60333333333333,2.01,2.60333333333333
3.47,1.876,2.46333333333333,4.98,1.94
2.46333333333333,1.876,4.98,1.94,3.47
144.66,4.38,3.725,1,4.56
0.737142857142857,3.31,4.99,5.03,11.38
3.31,5.495,9.75,6.19,34.28
3.06,5.74,3.995,1.455,1.6
1.455,1.68454545454545,3.995,24.05,6.545
34.28,0.21,7.53,3.31,5.49
76.88,4.9,1.868,7.76,76.88
1.43,8.03,7.2,24.8,22.67
9.93,1.68454545454545,7.2,0.695,4.75
6.545,24.05,1.868,22.67,4.805
15.33,18.72,10.89,22.67,4.805
24.05,7.2,1.6,3.995,5.74
76.88,3.995,0.695,1.68454545454545,15.33
24.8,5.74,4.805,8.03,3.995
