"geoid1","geoid2","geoid3","geoid4","geoid5"
260210021002,260210020001,260210004001,260210004002,260210021001
260210007002,260210009001,260210021003,260270021003,260210009001
260210023002,260210020003,260210008001,260210009001,260210005001
260210021003,260210101001,260210004002,260210102007,260210021003
260210021003,260210101001,260210021003,260810116001,260210015001
260210008001,260210020003,260210021001,260210021003,260210006003
260210021003,260210021003,260210016001,260210023002,260210005001
260210022002,260210007002,260210021003,260210020001,260210006003
260210014003,260210004002,260210025002,260210015002,260210015001
0,0,0,0,0
260210004002,260210018002,260210004002,260210021003,260210024002
260210020001,260210018002,260210020001,260210021003,260210024002
260210004002,260210018002,260210020001,260210021003,260210024002
260210004002,260210018002,260210020001,260210021003,260210024002
260210004002,260210018002,260210024002,260210021003,260210024002
260210004002,260210018002,260210004002,260210021003,260210024002
260210020001,260210017002,260210010002,260210018002,260210024002
260210021003,260210021003,260210009001,260210008002,260210024002
260210017003,261590113005,260210015001,260210014001,260210021003
260210111003,260210017002,260210017002,260210014003,260210021003
260210014003,260210014001,260210013001,260210017002,260210017003
261590113005,260210014003,260210017002,260210014002,260210111001
260210020003,260210003001,260210016001,260210016001,260210021003
260210014003,260210020003,260210013001,260210020003,260210003001
260210006003,260210018002,260210022002,260210022002,260210101001
260210021003,260210018002,260210021003,260210022002,260210101001
260210006003,260210018002,260210021003,260210101001,260210101001
0,0,0,0,0
260210008002,260210008001,260150106004,260210017002,260270019002
260210016001,260210020003,260210018002,260270019002,260210017003
260210021003,260210004002,260210018002,260150106004,260210022003
260210018002,260210017002,260210008003,260210021003,260210008002
260210014003,260210021003,260210017001,260210017002,260210011001
260210017002,260210008002,260210025002,260210105001,260270022002
260210105001,260210113001,260270019002,260210017002,260210023002
260210113001,260210020003,260210017002,260210017001,260210102007
260210015002,260210014003,260150106004,260210007003,260210016001
260210022003,260210016001,260210016001,260210024002,260270022002
260210021003,260210015001,260210024002,260210003002,260210016001
260210020003,260210014003,260210024002,260210014003,260210003002
260210016001,260210018002,260210020003,260210111003,260210017002
260210006003,260210018002,260210021003,260210022002,260210101001
260210213001,260210011002,260210011002,260210021003,260210008003
260210011002,260210008003,260210017002,260210008002,260210011001
260210004002,260210213001,260210206002,260210009001,260210017001
260210005001,260210017003,260210014003,260210021003,260210015001
260210111001,260210214002,260210013001,260210016001,260210213003
260210024002,260210008002,260210018002,260210008001,260210020001
260210010002,260210020001,260210008001,260210004002,260210018002
260210021003,260210020001,260210021001,260210018002,260210024002
260210018002,260210004002,260210010002,260210018002,260210008001
260210018002,260210021001,260210009001,260210017002,260210008001
260210013001,260210017002,260210005001,260210005001,261590113005
260210025002,260210017001,260210102007,260210007003,260210004002
260210018002,260210105001,260210021003,260210014003,260210024002
260210111001,260210014003,260270022002,260210017002,260210024002
260210102007,260210018002,260210105001,260210018002,260210016001
260210023002,260210017003,260210008003,260210014003,260210011001
260210014003,260210008003,260210023002,260210105001,260210015002
260210004002,260210014003,260270019002,260210025002,260210111001
260210024002,260210016001,260210105001,260210008001,260210004002
260210018002,260210103003,260210011002,260210103003,260210022001
260210014002,260210024002,260210011002,260210111003,260210011001
260210022001,260210022001,260210011002,260210025002,261614002002
260210111003,260210023002,260210018002,260210023002,260210004002
260210103003,260210021003,260210023002,260210011002,260210014002
260210004002,260210022001,260210021003,260210011002,260210024002
260210023002,260210016001,260210017002,260210022003,260270022002
260210024002,260210004002,260210017001,260210021003,260270019002
260210022003,260210020003,260210017001,260210015002,260210015001
260210015001,260210019001,260210013002,260210015002,260210008001
260210008001,260210017003,260770006002,260210015002,260210017003
260210020001,260210014003,260210015002,260210021003,260210024002
260210015002,260210014002,260210009002,260210017003,260210004001
260210025002,260210018002,260210004002,260210020001,260210008001
260210014002,260210025002,260210016001,260770006002,260210018002
260210003001,260210013001,260210018002,260210111001,260210014003
260210013001,260210111003,260210005001,260210014003,260210017003
260210005001,260210111001,261590113005,260210013001,260210016001
260210005001,260210021003,260210016001,260210013001,260210015001
260210020003,260210016001,260210013001,260210017002,260210014002
260210013001,260210111003,261590113005,260210014001,260210014003
260210213002,260210024002,260210025002,260210214001,260210014002
260210015001,260210020003,260210004002,260210009002,260210008003
260210011002,260210213001,260210017001,260210009002,260210008001
260210004002,260210024002,260210017001,260210206002,260210011002
260210024002,260210021001,260210020001,260210007002,260210021003
