,time1,time2,time3,time4,time5
164,9999.0,15.87,20.8,23.15,11.93
165,22.380000000000003,9999.0,9.309999999999999,16.04,20.8
166,17.910000000000004,12.25,9.77,28.39,11.18
167,9999.0,10.12,14.129999999999999,19.1,14.129999999999999
168,24.93,9999.0,10.12,10.12,9999.0
169,24.93,10.12,9999.0,9999.0,13.55
170,9999.0,14.129999999999999,24.93,9999.0,9999.0
171,8.05,5.12,8.2,8.2,0.0
172,5.12,0.0,8.05,5.12,9.07
173,9999.0,9999.0,9999.0,9999.0,9999.0
174,16.19,15.53,19.78,4.17,15.760000000000002
175,9999.0,9999.0,9999.0,9999.0,9999.0
176,10.969999999999999,21.090000000000003,15.350000000000001,0.0,7.5600000000000005
177,17.910000000000004,12.25,28.39,8.1,11.18
178,9999.0,8.24,11.88,11.42,7.65
179,17.02,15.95,11.2,13.66,6.68
180,15.95,17.02,9.43,6.68,9999.0
181,13.7,0.0,13.7,11.55,9999.0
182,17.02,9999.0,11.2,13.7,9.43
183,9.0,28.310000000000002,14.31,0.0,9999.0
184,18.979999999999997,9999.0,10.899999999999999,14.079999999999998,23.849999999999998
185,9.780000000000001,6.4,27.299999999999997,38.75,14.440000000000001
186,16.029999999999998,20.520000000000003,9.260000000000002,7.57,35.900000000000006
187,12.629999999999999,7.6,21.6,15.68,39.78
188,10.870000000000001,30.619999999999997,30.619999999999997,10.77,22.81
189,22.81,10.77,10.77,30.619999999999997,10.870000000000001
190,10.870000000000001,14.98,10.77,30.619999999999997,35.08
191,10.77,14.98,10.77,35.08,22.81
192,31.82,8.780000000000001,13.010000000000002,13.010000000000002,12.1
193,12.1,14.030000000000001,31.82,13.010000000000002,8.780000000000001
194,21.509999999999998,10.129999999999999,17.25,9.33,10.65
195,10.129999999999999,9.33,10.65,21.200000000000003,9.33
196,21.200000000000003,10.129999999999999,10.65,21.509999999999998,21.509999999999998
197,9.33,21.509999999999998,10.129999999999999,21.509999999999998,21.200000000000003
198,8.05,13.7,18.7,13.7,28.86
199,28.86,16.9,13.7,13.7,23.21
200,13.7,13.7,28.86,14.84,8.05
201,13.7,13.7,18.7,23.21,14.84
202,15.950000000000001,16.1,9.309999999999999,18.29,21.32
203,10.649999999999999,16.55,7.709999999999999,10.98,28.21
204,16.55,28.15,9.309999999999999,18.89,31.66
205,28.39,8.1,9.77,13.680000000000001,8.53
206,11.18,9.77,13.680000000000001,9.77,17.910000000000004
207,19.95,8.2,8.2,15.780000000000001,26.319999999999997
208,28.310000000000002,26.299999999999997,10.899999999999999,4.0,12.17
209,9999.0,29.240000000000002,17.16,0.0,17.860000000000003
210,24.460000000000004,0.0,4.23,7.5600000000000005,10.969999999999999
211,21.090000000000003,15.350000000000001,0.0,4.23,24.460000000000004
212,8.780000000000001,14.030000000000001,13.010000000000002,7.1,12.1
213,37.529999999999994,9999.0,24.78,24.78,11.120000000000001
214,11.98,0.0,16.2,11.2,12.969999999999999
215,16.2,16.2,11.2,11.98,0.0
216,11.98,26.73,12.969999999999999,16.2,11.98
217,30.21,15.93,10.75,7.27,9999.0
218,13.0,24.78,7.27,19.75,9999.0
219,11.2,11.2,0.0,15.949999999999998,26.73
220,11.2,11.2,11.98,26.73,16.2
221,18.7,16.9,8.05,28.86,23.21
222,9999.0,16.34,8.350000000000001,16.34,8.24
223,15.949999999999998,12.969999999999999,0.0,15.949999999999998,16.2
224,10.78,8.0,6.390000000000001,8.0,7.7
225,14.25,6.390000000000001,8.0,14.25,8.0
