r,d,t1,t2,s1,s2,n1,n2
213,8,82,83,13,13,5671,5740
213,8,83,84,13,13,5740,5809
213,2,84,88,13,62,5809,6134
214,2,73,82,18,13,5055,5671
214,8,82,83,13,13,5671,5740
214,8,83,84,13,13,5740,5809
214,2,84,88,13,62,5809,6134
215,2,73,82,18,13,5055,5671
215,8,82,83,13,13,5671,5740
215,8,83,84,13,13,5740,5809
215,2,84,88,13,62,5809,6134
221,5,40,44,53,29,2813,3065
221,5,44,48,29,49,3065,3361
221,5,48,52,49,8,3361,3596
221,5,52,55,8,30,3596,3825
221,8,55,56,30,30,3825,3894
221,8,56,57,30,30,3894,3963
221,8,57,58,30,30,3963,4032
221,8,58,59,30,30,4032,4101
221,8,59,60,30,30,4101,4170
221,8,60,61,30,30,4170,4239
221,8,61,62,30,30,4239,4308
221,5,62,63,30,7,4308,4354
221,5,63,66,7,1,4354,4555
221,5,66,71,1,39,4555,4938
222,5,40,44,53,29,2813,3065
222,5,44,48,29,49,3065,3361
222,5,48,52,49,8,3361,3596
222,5,52,55,8,30,3596,3825
222,8,55,56,30,30,3825,3894
222,8,56,57,30,30,3894,3963
222,8,57,58,30,30,3963,4032
222,8,58,59,30,30,4032,4101
222,8,59,60,30,30,4101,4170
222,8,60,61,30,30,4170,4239
222,8,61,62,30,30,4239,4308
222,5,62,63,30,7,4308,4354
222,5,63,66,7,1,4354,4555
222,5,66,71,1,39,4555,4938
223,5,40,44,53,29,2813,3065
223,5,44,48,29,49,3065,3361
223,5,48,52,49,8,3361,3596
223,5,52,55,8,30,3596,3825
223,8,55,56,30,30,3825,3894
223,8,56,57,30,30,3894,3963
223,8,57,58,30,30,3963,4032
223,8,58,59,30,30,4032,4101
223,8,59,60,30,30,4101,4170
223,8,60,61,30,30,4170,4239
223,8,61,62,30,30,4239,4308
223,5,62,63,30,7,4308,4354
223,5,63,66,7,1,4354,4555
223,5,66,71,1,39,4555,4938
224,3,0,7,17,18,17,501
224,3,7,16,18,13,501,1117
224,8,16,17,13,13,1117,1186
224,8,17,18,13,13,1186,1255
224,3,18,22,13,62,1255,1580
224,8,22,23,62,62,1580,1649
224,8,23,24,62,62,1649,1718
224,8,24,25,62,62,1718,1787
224,8,25,26,62,62,1787,1856
224,3,26,30,62,64,1856,2134
225,1,21,25,49,29,1498,1754
227,1,9,14,39,30,660,996
227,1,14,17,30,8,996,1181
227,1,17,21,8,49,1181,1498
227,1,21,25,49,29,1498,1754
245,7,12,16,7,39,835,1143
246,7,12,16,7,39,835,1143
247,7,12,16,7,39,835,1143
248,3,26,30,62,64,1856,2134
248,3,30,33,64,6,2134,2283
248,8,33,34,6,6,2283,2352
248,8,34,35,6,6,2352,2421
248,8,35,36,6,6,2421,2490
248,3,36,38,6,50,2490,2672
248,3,38,42,50,52,2672,2950
249,3,26,30,62,64,1856,2134
249,3,30,33,64,6,2134,2283
249,8,33,34,6,6,2283,2352
249,8,34,35,6,6,2352,2421
249,8,35,36,6,6,2421,2490
249,3,36,38,6,50,2490,2672
249,3,38,42,50,52,2672,2950
250,1,44,47,30,38,3066,3281
250,1,47,51,38,39,3281,3558
251,1,44,47,30,38,3066,3281
251,1,47,51,38,39,3281,3558
252,1,44,47,30,38,3066,3281
252,1,47,51,38,39,3281,3558
255,0,30,35,39,1,2109,2416
257,0,20,23,8,30,1388,1617
257,0,23,26,30,38,1617,1832
257,0,26,30,38,39,1832,2109
258,0,20,23,8,30,1388,1617
258,0,23,26,30,38,1617,1832
258,0,26,30,38,39,1832,2109
259,1,41,44,8,30,2837,3066
259,1,44,47,30,38,3066,3281
259,1,47,51,38,39,3281,3558
267,2,116,121,52,29,8056,8378
272,2,96,99,64,6,6688,6837
272,8,99,100,6,6,6837,6906
272,8,100,101,6,6,6906,6975
272,8,101,102,6,6,6975,7044
272,2,102,104,6,50,7044,7226
272,2,104,108,50,52,7226,7504
