"dist1","dist2","dist3","dist4","dist5","dist6","dist7","dist8","dist9","dist10"
3.2746199,0.062137,1.8827511,3.231124,1.3483729,1.4850743,6.400111,2.8458746,1.8454689,3.168987
3.5853049,0.062137,7.4999359,2.0070251,2.982576,1.9821703,1.6466305,1.3483729,3.479672,6.5430261
1.4850743,1.8454689,2.0753758,1.1743893,0.062137,0.8637043,3.231124,1.3483729,2.8458746,2.8334472
3.355398,0.4660275,2.7775239,1.7584771,0.9569098,6.524385,1.8765374,6.2944781,1.1371071,1.367014
3.5231679,0.062137,3.8089981,3.355398,3.6598693,4.5049325,0.6400111,3.1006363,3.8897762,3.231124
0.8637043,3.2746199,1.3483729,2.0940169,5.2567902,2.8396609,1.4850743,3.231124,3.168987,0.062137
1.4105099,2.7775239,0.4225316,6.524385,1.4850743,0.6089426,6.2944781,1.9013922,3.1627733,0.8264221
6.524385,2.0940169,2.7775239,2.4047019,2.3052827,1.8765374,0.4660275,1.677699,1.1371071,1.2116715
0.9196276,0.4225316,3.1627733,2.0070251,0.8264221,1.6466305,0.062137,1.4105099,1.4167236,0.6089426
6.400111,3.168987,0.8637043,2.0318799,1.8454689,2.8458746,5.2567902,2.0940169,2.8334472,3.231124
1.9013922,2.0070251,6.524385,1.4105099,1.3173044,6.2944781,0.6089426,1.4850743,0.4225316,0.9196276
1.1743893,1.8454689,2.0753758,2.8458746,6.400111,2.8334472,2.0940169,1.4850743,3.231124,2.8396609
0.9196276,6.2944781,0.4225316,1.4105099,2.0070251,1.4167236,0.6089426,0.8264221,1.9013922,6.524385
0.8264221,3.355398,2.3052827,1.1371071,2.0940169,2.7775239,1.7584771,6.524385,2.4047019,1.367014
3.168987,2.2804279,1.9013922,1.9697429,2.8334472,2.1064443,2.4419841,5.4494149,2.7526691,2.0318799
1.7584771,1.8765374,1.1371071,6.2944781,2.4047019,0.4660275,1.367014,1.677699,0.062137,2.7775239
4.1258968,3.9270584,2.8458746,3.3243295,0.8326358,2.7153869,3.8089981,2.7775239,3.7468611,1.7025538
4.1383242,2.7899513,3.479672,7.4999359,2.4047019,2.6470362,6.5430261,1.9821703,1.2986633,3.5853049
0.869918,2.8334472,2.8334472,2.0567347,0.062137,1.7460497,2.6470362,2.7588828,3.355398,7.642851
2.0940169,2.3052827,0.4660275,6.2944781,0.9569098,6.524385,1.24274,1.7584771,1.8765374,1.1371071
4.34959,2.1561539,6.8412837,6.2944781,6.9407029,0.062137,3.5790912,5.2567902,5.219508,7.4440126
6.5430261,6.9407029,7.4440126,6.2944781,3.5790912,5.219508,2.1561539,6.6548727,4.34959,7.642851
0.062137,2.0070251,2.3674197,1.9448881,3.3616117,2.982576,4.34959,2.2555731,2.0753758,2.5538307
3.355398,3.231124,3.7095789,3.8089981,0.062137,3.8897762,3.4113213,3.1006363,4.3247352,3.5231679
7.4937222,7.1706098,3.8897762,6.400111,7.8727579,6.462248,3.8089981,6.524385,7.6739195,6.524385
4.1383242,3.8897762,3.4113213,3.7095789,4.3247352,4.5111462,0.6400111,3.231124,3.6598693,3.1627733
4.1258968,0.062137,3.4237487,2.8458746,3.9270584,0.8326358,3.3243295,3.0260719,3.8089981,1.7025538
2.3674197,3.3616117,0.8326358,1.9448881,2.0070251,3.355398,2.3052827,1.2178852,0.062137,2.5538307
3.4237487,2.8458746,3.8089981,2.7775239,2.7153869,0.8326358,3.5790912,1.7025538,0.062137,3.1379185
2.3052827,1.8765374,6.524385,1.24274,6.2944781,0.4660275,2.7775239,2.4047019,1.677699,1.7584771
1.7584771,2.4047019,1.677699,3.355398,2.3052827,6.2944781,1.2116715,1.24274,1.1371071,1.367014
1.24274,2.4047019,1.677699,1.8765374,2.3052827,2.0940169,6.524385,0.062137,1.1371071,1.2116715
1.4726469,2.9515075,0.062137,3.8089981,6.9407029,1.8765374,1.8827511,3.0571404,1.7895456,7.1706098
3.8089981,7.1706098,2.1561539,6.524385,6.8847796,3.8897762,0.062137,6.400111,7.8727579,6.524385
1.5409976,3.5231679,3.1379185,1.3545866,1.6466305,0.062137,1.8454689,1.2800222,0.9693372,0.4660275
3.7530748,1.7025538,4.1258968,0.6400111,3.5790912,0.8326358,2.7775239,3.3243295,0.062137,2.7775239
