"dist1","dist2","dist3","dist4","dist5","dist6","dist7","dist8","dist9","dist10"
1.4850743,1.8454689,1.8516826,1.1308934,2.0753758,0.8202084,3.0012171,1.1868167,2.6221814,2.7402417
3.0322856,0.4660275,3.0322856,1.6342031,0.8388495,9.1403527,1.7025538,5.965152,1.1557482,1.3421592
3.4361761,0.062137,3.7779296,3.0322856,3.0012171,4.1818201,0.6337974,3.0695678,6.2385548,3.0012171
0.8202084,1.4850743,1.1868167,2.0753758,5.9713657,2.7153869,1.4850743,3.0012171,2.8458746,0.062137
1.4042962,2.7526691,0.4225316,9.2770541,1.4850743,0.8264221,6.1018534,1.9200333,3.1317048,0.8264221
9.1403527,2.0753758,0.8264221,2.6532499,1.8827511,1.7025538,0.4660275,1.6528442,1.1557482,1.2116715
0.8885591,0.4225316,3.1317048,1.4850743,0.8264221,1.8889648,0.062137,1.4042962,1.3794414,0.6089426
9.1465664,2.8458746,0.8202084,1.9448881,1.8454689,2.6221814,5.9713657,1.4850743,2.7402417,3.0012171
1.9200333,2.0070251,1.4850743,1.4042962,1.2862359,6.1018534,0.5778741,1.4850743,0.4225316,0.8885591
1.1308934,1.8454689,1.8516826,2.6221814,1.4850743,2.7402417,2.0753758,1.4850743,3.0012171,2.7153869
1.4850743,6.1018534,0.4225316,1.4042962,2.0070251,1.3794414,0.6089426,0.8264221,1.9200333,9.2770541
0.8264221,3.0322856,1.8827511,1.1557482,2.0753758,1.1557482,1.6342031,9.1403527,2.6532499,1.3421592
1.1557482,2.1375128,1.9200333,1.6093483,2.7278143,1.8765374,2.4357704,8.0902374,2.7464554,1.9324607
1.6342031,1.7025538,1.1557482,5.965152,2.6532499,2.6159677,1.3421592,1.6528442,0.062137,2.6159677
4.0948283,3.7655022,2.6221814,2.6159677,0.8326358,2.6905321,6.586522,2.6159677,3.3802528,1.5658524
3.7468611,2.9577212,3.7468611,10.2712461,2.6532499,2.982576,7.0960454,2.1872224,1.6901264,3.8338529
0.869918,2.7278143,2.7402417,1.3483729,0.062137,1.6714853,2.982576,2.3301375,3.3243295,7.4440126
2.0753758,1.8827511,0.4660275,5.965152,0.8388495,5.965152,1.24274,1.6342031,1.7025538,1.1557482
4.1818201,3.2373377,6.648659,5.965152,6.7480782,0.062137,3.4113213,5.965152,4.9150367,7.1146865
7.0960454,6.7294371,7.1146865,5.965152,3.4113213,4.9150367,3.2373377,6.3690425,4.1818201,7.4440126
0.062137,1.9821703,2.2866416,1.9200333,3.0322856,2.9763623,4.1818201,1.2116715,1.8516826,2.5289759
3.0322856,3.0012171,3.6785104,3.7779296,6.2385548,6.2385548,3.2684062,3.0695678,3.9519132,3.4361761
9.9046378,9.9232789,6.2385548,9.1465664,10.6192133,9.2149171,6.586522,9.2770541,10.2898872,9.1403527
4.1258968,6.2385548,3.2684062,3.6785104,3.9519132,4.473864,2.1375128,3.0012171,3.0633541,3.1317048
4.0948283,0.062137,3.3988939,2.6159677,3.7655022,0.8326358,3.2994747,2.8893705,6.586522,1.5658524
2.2866416,3.0322856,0.8326358,1.9200333,0.8326358,3.3243295,1.8827511,1.2116715,0.062137,2.5289759
3.3988939,2.6221814,6.586522,0.8326358,2.6905321,0.8326358,3.4113213,1.5658524,0.062137,3.0198582
1.8827511,1.7025538,9.1403527,1.24274,5.965152,0.4660275,2.6159677,2.6532499,2.6532499,1.6342031
1.6342031,2.6532499,1.6528442,3.0322856,2.6532499,5.965152,1.2116715,1.24274,1.1557482,1.3421592
2.6532499,2.6532499,1.6528442,1.7025538,1.8827511,2.0753758,9.1403527,0.062137,1.1557482,1.2116715
1.4167236,2.796165,0.062137,3.7779296,6.7480782,1.7025538,1.8392552,9.9232789,1.6963401,9.9232789
6.586522,3.2373377,3.2373377,9.1403527,9.5442432,6.2385548,0.062137,9.1465664,10.6192133,9.2770541
1.5596387,2.2493594,3.0198582,1.3483729,1.6466305,0.062137,1.8454689,1.2489537,0.9382687,0.4660275
3.7468611,1.5658524,4.0948283,3.7468611,3.4113213,0.8326358,2.7526691,3.2994747,0.062137,2.6159677
7.0960454,3.7468611,1.0687564,2.9577212,2.2493594,3.7468611,2.6532499,2.1872224,4.1258968,2.9763623
3.8338529,2.5227622,6.7294371,2.8334472,1.24274,1.5223565,3.0633541,3.9519132,3.2559788,0.062137
2.982576,2.9763623,1.0687564,2.1872224,1.8889648,1.1868167,3.8338529,2.6532499,3.8338529,0.062137
1.4850743,1.9448881,2.0753758,3.2559788,1.1868167,1.8516826,9.1465664,2.6221814,5.9713657,3.0012171
7.1146865,5.9713657,6.1018534,5.9713657,6.7294371,4.1818201,7.4440126,6.2385548,3.2373377,3.0633541
