"wktt1","wktt2","wktt3","wktt4","wktt5","wktt6","wktt7","wktt8","wktt9","wktt10"
27.201507,87.151507,86.371507,62.191507,1.331507,52.521507,94.711507,74.451507,105.501507,236.711507
65.811507,59.111507,14.931507,189.121507,26.731507,201.041507,39.931507,52.051507,54.231507,36.431507
132.541507,63.001507,211.391507,189.121507,214.981507,1.331507,107.941507,189.091507,156.521507,225.551507
225.521507,214.981507,225.551507,189.121507,107.941507,156.521507,63.001507,202.721507,132.541507,236.711507
1.331507,62.651507,72.711507,60.901507,95.541507,94.311507,132.541507,66.901507,57.881507,80.181507
96.061507,94.831507,117.131507,120.721507,1.331507,121.051507,103.851507,97.851507,126.021507,109.661507
226.721507,226.901507,121.051507,201.011507,248.631507,204.031507,119.861507,205.781507,237.471507,201.041507
131.261507,121.051507,103.851507,117.131507,126.021507,142.451507,19.161507,94.831507,96.821507,99.601507
130.101507,1.331507,108.371507,82.481507,118.941507,25.931507,104.781507,91.501507,119.861507,49.911507
72.711507,95.541507,25.931507,60.901507,62.651507,105.501507,59.111507,38.281507,1.331507,80.181507
108.371507,82.481507,119.861507,82.511507,85.501507,25.931507,107.941507,49.911507,1.331507,96.111507
59.111507,54.231507,201.041507,39.931507,189.121507,14.931507,82.511507,84.011507,51.411507,52.051507
52.051507,84.011507,51.411507,96.061507,59.111507,189.121507,37.761507,39.931507,36.431507,41.741507
39.931507,84.011507,51.411507,54.231507,59.111507,65.811507,201.041507,1.331507,36.431507,37.761507
44.351507,89.331507,1.331507,120.721507,214.981507,54.231507,58.051507,92.831507,53.411507,226.901507
119.861507,226.901507,63.001507,201.041507,214.641507,121.051507,1.331507,201.011507,248.631507,205.781507
50.031507,109.661507,96.111507,42.171507,53.531507,1.331507,58.081507,39.031507,29.361507,14.931507
118.911507,49.911507,130.101507,19.161507,107.941507,25.931507,87.251507,104.781507,1.331507,82.511507
225.521507,118.911507,33.931507,94.051507,71.631507,122.611507,84.011507,69.471507,131.261507,94.311507
63.961507,80.341507,214.801507,90.011507,39.931507,48.581507,97.711507,126.021507,104.411507,1.331507
94.711507,94.311507,33.931507,69.471507,59.981507,37.761507,94.051507,84.011507,122.611507,1.331507
46.431507,61.051507,65.811507,104.411507,37.761507,57.881507,201.011507,82.481507,1.331507,94.831507
225.551507,189.091507,193.861507,214.981507,214.801507,132.541507,236.711507,198.111507,63.001507,96.821507
201.011507,58.051507,90.051507,37.761507,82.481507,1.331507,94.831507,85.631507,189.091507,86.371507
189.091507,156.521507,1.331507,214.801507,225.551507,236.711507,107.941507,96.821507,63.001507,198.111507
29.361507,109.661507,214.641507,44.351507,12.981507,16.851507,50.031507,41.431507,72.711507,1.331507
14.931507,37.761507,1.331507,59.111507,26.731507,189.121507,41.741507,201.041507,84.011507,51.411507
51.781507,94.051507,43.441507,48.581507,85.631507,1.331507,72.861507,225.551507,41.431507,132.491507
103.851507,210.031507,198.111507,33.871507,51.411507,62.191507,91.501507,39.031507,36.871507,66.901507
59.981507,225.521507,237.441507,94.711507,131.261507,122.611507,37.761507,1.331507,43.601507,94.051507
96.061507,52.051507,82.511507,14.931507,26.731507,37.761507,65.811507,25.361507,41.741507,36.431507
41.431507,29.361507,12.981507,39.031507,16.851507,96.111507,72.711507,53.531507,42.171507,14.931507
189.121507,96.061507,1.331507,26.731507,84.011507,37.761507,51.411507,39.931507,41.741507,25.361507
38.281507,25.931507,95.541507,80.181507,66.901507,57.881507,132.541507,97.711507,83.771507,62.651507
189.121507,84.011507,25.361507,41.741507,51.411507,59.111507,201.041507,37.761507,65.811507,14.931507
237.441507,59.981507,119.111507,43.601507,225.521507,84.011507,53.761507,69.471507,94.711507,37.761507
103.851507,86.511507,25.511507,33.931507,61.451507,62.191507,198.111507,210.031507,33.871507,11.001507
225.521507,237.441507,122.611507,69.471507,33.931507,94.711507,53.761507,43.601507,94.051507,71.631507
201.011507,168.441507,1.331507,226.721507,237.471507,223.311507,248.631507,214.641507,226.901507,119.861507
97.711507,25.931507,57.881507,83.771507,72.711507,80.181507,60.901507,62.651507,38.281507,105.501507
59.611507,92.831507,65.331507,104.411507,63.961507,48.581507,74.451507,122.611507,1.331507,80.341507
83.771507,51.511507,60.901507,94.311507,80.181507,1.331507,66.901507,25.931507,72.711507,105.501507
61.451507,118.941507,27.201507,48.581507,1.331507,85.631507,72.861507,37.761507,53.411507,237.471507
46.431507,57.881507,58.081507,85.631507,61.051507,1.331507,104.411507,65.811507,35.181507,189.091507
96.061507,96.821507,131.261507,142.451507,103.851507,132.491507,121.051507,109.661507,38.281507,117.131507
58.051507,46.431507,104.411507,58.081507,94.831507,1.331507,61.051507,35.181507,82.481507,85.631507
53.761507,118.911507,71.631507,225.521507,43.601507,122.611507,131.261507,69.471507,94.311507,94.051507
51.511507,86.511507,168.441507,36.431507,87.151507,60.461507,89.331507,90.051507,59.611507,61.831507
96.111507,107.941507,1.331507,85.501507,19.161507,82.511507,119.861507,49.911507,91.501507,118.911507
214.801507,48.581507,53.531507,126.021507,108.191507,97.711507,226.721507,39.931507,1.331507,63.961507
26.731507,84.011507,189.121507,41.741507,59.111507,14.931507,82.511507,52.051507,65.811507,25.361507
87.251507,96.111507,82.481507,49.911507,82.511507,107.941507,118.911507,19.161507,118.941507,1.331507
97.711507,94.311507,1.331507,83.771507,38.281507,95.541507,66.901507,59.111507,105.501507,144.461507
66.901507,144.461507,38.281507,105.501507,59.111507,51.511507,25.931507,94.311507,1.331507,62.651507
14.931507,51.411507,37.761507,96.061507,189.121507,41.741507,59.111507,65.811507,54.231507,1.331507
72.711507,51.511507,57.881507,94.311507,66.901507,105.501507,25.931507,59.111507,144.461507,132.541507
50.031507,87.151507,90.051507,86.511507,61.831507,156.521507,49.911507,60.461507,76.841507,36.431507
95.541507,60.901507,83.771507,1.331507,38.281507,97.711507,105.501507,62.651507,72.711507,80.181507
50.031507,67.741507,60.461507,61.831507,86.511507,49.911507,90.051507,76.841507,168.441507,36.431507
105.501507,60.901507,62.651507,59.111507,66.901507,132.541507,144.461507,83.771507,95.541507,25.931507
60.461507,72.861507,61.831507,51.511507,49.911507,168.441507,76.841507,87.151507,50.031507,59.611507
225.551507,156.521507,236.711507,211.391507,225.521507,214.801507,189.121507,198.111507,107.941507,1.331507
37.761507,25.361507,39.931507,84.011507,54.231507,26.731507,41.741507,189.121507,1.331507,52.051507
237.471507,144.461507,63.001507,119.861507,226.901507,121.051507,226.721507,201.041507,210.031507,248.631507
19.161507,82.481507,1.331507,85.501507,104.781507,82.511507,108.191507,119.861507,118.911507,108.371507
71.631507,84.011507,131.261507,53.761507,37.761507,237.441507,59.981507,94.711507,43.601507,119.111507
96.111507,85.501507,118.911507,108.191507,25.931507,130.101507,82.481507,1.331507,107.941507,104.781507
94.311507,43.601507,94.711507,37.761507,53.761507,237.441507,1.331507,94.051507,59.981507,119.111507
132.541507,225.551507,214.801507,96.821507,214.981507,211.391507,107.941507,156.521507,225.521507,189.121507
25.931507,108.371507,85.501507,87.251507,130.101507,118.911507,19.161507,119.861507,108.191507,118.941507
119.861507,63.001507,248.631507,121.051507,1.331507,201.041507,205.781507,144.461507,214.641507,168.441507
205.781507,204.031507,63.001507,168.441507,119.861507,248.631507,210.031507,201.041507,1.331507,223.311507
107.941507,236.711507,96.821507,189.091507,211.391507,156.521507,214.801507,225.521507,132.541507,193.861507
204.031507,226.721507,119.861507,144.461507,237.441507,223.311507,121.051507,1.331507,201.011507,214.641507
132.541507,214.801507,63.001507,236.711507,225.521507,202.721507,107.941507,211.391507,193.861507,198.111507
118.941507,130.101507,1.331507,19.161507,49.911507,108.191507,108.371507,87.251507,85.501507,96.111507
37.761507,85.631507,58.081507,1.331507,57.881507,104.411507,86.371507,94.831507,189.091507,90.051507
118.941507,82.511507,1.331507,107.941507,87.251507,118.911507,119.861507,104.781507,96.111507,19.161507
104.411507,90.051507,85.631507,1.331507,46.431507,25.511507,35.181507,86.371507,58.051507,65.811507
119.861507,85.501507,96.111507,108.191507,104.781507,130.101507,49.911507,19.161507,118.941507,118.911507
99.601507,1.331507,94.831507,120.721507,109.661507,103.851507,121.051507,117.131507,126.021507,19.161507
211.391507,202.721507,107.941507,189.091507,96.821507,214.801507,132.541507,63.001507,156.521507,189.121507
94.311507,25.931507,83.771507,60.901507,62.651507,144.461507,80.181507,97.711507,57.881507,132.541507
104.781507,118.911507,108.191507,91.501507,130.101507,19.161507,96.111507,108.371507,85.501507,82.511507
96.061507,132.491507,1.331507,121.051507,117.131507,94.831507,38.281507,103.851507,109.661507,142.451507
131.261507,94.311507,237.441507,1.331507,69.471507,37.761507,118.911507,84.011507,225.521507,59.981507
90.051507,58.051507,201.011507,1.331507,82.481507,61.051507,58.081507,189.091507,85.631507,37.761507
41.741507,37.761507,25.361507,54.231507,52.051507,51.411507,59.111507,96.061507,36.431507,84.011507
37.761507,189.091507,25.511507,65.811507,94.831507,85.631507,90.051507,86.371507,61.051507,58.081507
94.711507,53.761507,69.471507,71.631507,225.521507,33.931507,122.611507,59.981507,94.051507,94.311507
61.051507,46.431507,94.831507,104.411507,25.511507,35.181507,201.011507,58.051507,57.881507,90.051507
72.711507,80.181507,59.111507,51.511507,97.711507,95.541507,38.281507,83.771507,1.331507,132.541507
82.511507,54.231507,26.731507,51.411507,41.741507,25.361507,1.331507,37.761507,201.041507,52.051507
25.931507,95.541507,60.901507,83.771507,38.281507,59.111507,57.881507,62.651507,72.711507,51.511507
105.501507,57.881507,83.771507,62.651507,1.331507,60.901507,132.541507,72.711507,97.711507,66.901507
82.511507,1.331507,14.931507,201.041507,65.811507,26.731507,41.741507,39.931507,52.051507,51.411507
223.311507,237.441507,226.901507,205.781507,121.051507,168.441507,248.631507,210.031507,144.461507,201.041507
76.841507,72.861507,87.151507,89.331507,36.431507,49.911507,90.051507,1.331507,51.511507,168.441507
205.781507,223.311507,119.861507,210.031507,226.721507,168.441507,226.901507,237.471507,1.331507,144.461507
36.431507,72.861507,156.521507,168.441507,59.611507,50.031507,86.511507,87.151507,90.051507,49.911507
33.871507,108.371507,53.411507,24.201507,120.721507,28.831507,89.331507,226.901507,83.771507,42.281507
38.281507,83.771507,144.461507,60.901507,25.931507,62.651507,95.541507,51.511507,57.881507,97.711507
119.111507,36.431507,90.051507,86.511507,51.511507,72.861507,60.461507,61.831507,76.841507,156.521507
74.451507,63.961507,126.021507,48.581507,97.711507,214.801507,122.611507,65.331507,1.331507,104.411507
1.331507,189.121507,51.411507,39.931507,36.431507,201.041507,96.061507,84.011507,41.741507,14.931507
144.461507,121.051507,119.861507,168.441507,214.641507,63.001507,248.631507,226.721507,201.011507,237.471507
59.611507,76.841507,36.431507,90.051507,119.111507,49.911507,50.031507,60.461507,86.511507,87.151507
94.311507,94.711507,37.761507,71.631507,59.981507,84.011507,225.521507,118.911507,69.471507,53.761507
57.881507,59.111507,105.501507,95.541507,38.281507,97.711507,25.931507,62.651507,132.541507,1.331507
1.331507,87.251507,104.781507,49.911507,108.371507,96.111507,107.941507,82.511507,85.501507,108.191507
97.711507,83.771507,62.651507,51.511507,60.901507,144.461507,38.281507,80.181507,1.331507,59.111507
43.441507,41.431507,94.051507,37.761507,1.331507,118.941507,25.911507,61.451507,225.551507,51.781507
76.841507,50.031507,90.051507,51.511507,49.911507,156.521507,1.331507,67.741507,168.441507,87.151507
18.861507,205.781507,62.651507,63.961507,193.861507,59.981507,17.711507,43.441507,44.181507,12.981507
37.761507,25.911507,61.451507,51.781507,72.861507,48.581507,94.051507,43.441507,132.491507,237.471507
99.601507,62.651507,17.711507,1.331507,205.781507,59.981507,44.181507,27.381507,60.461507,87.251507
16.851507,61.831507,61.051507,26.651507,211.391507,223.311507,1.331507,104.781507,27.201507,25.911507
41.431507,94.051507,72.861507,43.441507,1.331507,27.201507,132.491507,225.551507,37.761507,25.911507
131.261507,94.711507,94.311507,237.441507,94.051507,71.631507,37.761507,118.911507,225.521507,59.981507
189.091507,65.811507,46.431507,85.631507,57.881507,25.511507,201.011507,86.371507,58.081507,35.181507
59.981507,25.361507,62.651507,40.581507,87.251507,60.461507,44.181507,193.861507,17.711507,99.601507
95.541507,97.711507,132.541507,59.111507,94.311507,57.881507,60.901507,38.281507,105.501507,83.771507
119.861507,118.941507,19.161507,108.191507,91.501507,1.331507,82.511507,107.941507,130.101507,118.911507
38.281507,80.181507,105.501507,62.651507,83.771507,51.511507,1.331507,94.311507,57.881507,66.901507
96.111507,19.161507,25.931507,118.941507,130.101507,108.191507,104.781507,91.501507,108.371507,85.501507
59.111507,105.501507,144.461507,83.771507,132.541507,95.541507,38.281507,66.901507,72.711507,94.311507
82.511507,108.191507,82.481507,108.371507,104.781507,96.111507,1.331507,91.501507,130.101507,118.941507
226.721507,201.011507,237.471507,248.631507,121.051507,214.641507,168.441507,237.441507,119.861507,63.001507
37.761507,54.231507,51.411507,41.741507,201.041507,39.931507,52.051507,82.511507,84.011507,59.111507
126.021507,121.051507,1.331507,142.451507,117.131507,109.661507,103.851507,94.831507,96.061507,96.821507
67.741507,51.511507,60.461507,72.861507,168.441507,156.521507,76.841507,59.611507,87.151507,61.831507
1.331507,19.161507,118.911507,107.941507,108.191507,130.101507,104.781507,96.111507,82.511507,49.911507
205.781507,237.441507,226.721507,119.861507,121.051507,248.631507,226.901507,1.331507,204.031507,201.041507
50.031507,89.331507,90.051507,168.441507,49.911507,51.511507,156.521507,87.151507,119.111507,61.831507
226.901507,237.441507,248.631507,205.781507,226.721507,119.861507,1.331507,237.471507,214.641507,223.311507
48.581507,61.451507,53.411507,95.541507,25.911507,1.331507,27.201507,118.941507,237.471507,37.761507
51.411507,96.061507,36.431507,84.011507,26.731507,189.121507,14.931507,52.051507,1.331507,59.111507
237.471507,48.581507,94.051507,25.911507,95.541507,1.331507,43.441507,41.431507,132.491507,85.631507
36.431507,119.111507,50.031507,86.511507,156.521507,87.151507,59.611507,51.511507,1.331507,90.051507
1.331507,84.011507,94.311507,237.441507,69.471507,122.611507,33.931507,131.261507,53.761507,43.601507
53.411507,225.551507,51.781507,237.471507,61.451507,118.941507,27.201507,48.581507,94.051507,85.631507
49.911507,87.151507,60.461507,67.741507,168.441507,89.331507,50.031507,76.841507,1.331507,86.511507
43.601507,131.261507,225.521507,94.711507,84.011507,119.111507,237.441507,118.911507,94.311507,53.761507
72.861507,59.611507,119.111507,90.051507,36.431507,50.031507,49.911507,89.331507,87.151507,60.461507
214.801507,90.011507,126.021507,122.611507,104.411507,108.191507,74.451507,63.961507,1.331507,92.831507
26.731507,65.811507,96.061507,25.361507,41.741507,14.931507,39.931507,52.051507,189.121507,37.761507
59.611507,60.461507,156.521507,51.511507,119.111507,87.151507,86.511507,61.831507,50.031507,67.741507
37.761507,53.761507,131.261507,71.631507,69.471507,43.601507,119.111507,122.611507,225.521507,237.441507
58.051507,57.881507,25.511507,61.051507,37.761507,58.081507,46.431507,90.051507,65.811507,82.481507
122.611507,37.761507,84.011507,59.981507,225.521507,118.911507,94.051507,1.331507,131.261507,94.311507
58.081507,58.051507,57.881507,61.051507,201.011507,46.431507,25.511507,86.371507,85.631507,94.831507
237.441507,71.631507,37.761507,122.611507,94.311507,94.051507,43.601507,1.331507,225.521507,33.931507
33.931507,37.761507,1.331507,119.111507,131.261507,122.611507,118.911507,69.471507,94.311507,53.761507
87.151507,72.861507,90.051507,1.331507,168.441507,67.741507,49.911507,50.031507,156.521507,119.111507
50.031507,156.521507,59.611507,49.911507,87.151507,168.441507,76.841507,60.461507,72.861507,36.431507
61.451507,85.631507,95.541507,132.491507,72.861507,41.431507,25.911507,43.441507,94.051507,225.551507
104.411507,214.801507,63.961507,126.021507,90.011507,226.721507,108.191507,59.611507,122.611507,92.831507
40.581507,60.461507,46.431507,62.651507,205.781507,25.361507,63.961507,87.251507,1.331507,27.381507
96.821507,126.021507,99.601507,121.051507,109.661507,131.261507,67.741507,19.161507,96.061507,38.281507
237.441507,33.931507,131.261507,94.311507,53.761507,37.761507,119.111507,122.611507,69.471507,43.601507
33.871507,210.031507,36.871507,27.381507,33.931507,198.111507,103.851507,25.511507,66.901507,86.511507
94.711507,59.981507,71.631507,94.311507,94.051507,237.441507,119.111507,37.761507,43.601507,33.931507
14.931507,65.811507,26.731507,201.041507,52.051507,25.361507,37.761507,189.121507,84.011507,54.231507
103.851507,94.831507,19.161507,1.331507,121.051507,117.131507,142.451507,97.851507,132.491507,96.821507
87.251507,49.911507,108.371507,82.511507,91.501507,130.101507,108.191507,104.781507,118.941507,19.161507
96.061507,103.851507,96.821507,117.131507,38.281507,132.491507,126.021507,67.741507,109.661507,19.161507
107.941507,119.861507,108.371507,85.501507,96.111507,87.251507,118.941507,108.191507,1.331507,130.101507
26.731507,69.471507,1.331507,26.651507,16.851507,28.831507,211.391507,104.781507,61.831507,25.911507
43.601507,94.711507,53.761507,33.931507,119.111507,69.471507,94.051507,37.761507,122.611507,59.981507
87.251507,118.911507,49.911507,108.191507,19.161507,82.511507,107.941507,108.371507,91.501507,82.481507
51.511507,72.861507,168.441507,49.911507,67.741507,61.831507,89.331507,156.521507,86.511507,36.431507
82.481507,19.161507,96.111507,104.781507,1.331507,82.511507,87.251507,49.911507,25.931507,108.371507
67.741507,119.111507,168.441507,36.431507,86.511507,76.841507,1.331507,156.521507,61.831507,87.151507
82.511507,49.911507,104.781507,87.251507,118.911507,91.501507,96.111507,1.331507,108.191507,119.861507
82.511507,96.061507,65.811507,25.361507,26.731507,84.011507,1.331507,39.931507,51.411507,189.121507
1.331507,36.431507,189.121507,54.231507,59.111507,14.931507,37.761507,96.061507,41.741507,39.931507
51.411507,84.011507,36.431507,59.111507,25.361507,37.761507,41.741507,52.051507,39.931507,189.121507
107.941507,82.481507,85.501507,108.371507,96.111507,19.161507,130.101507,25.931507,87.251507,104.781507
211.391507,214.981507,202.721507,63.001507,189.121507,192.111507,1.331507,225.551507,193.861507,156.521507
25.931507,49.911507,1.331507,119.861507,108.191507,85.501507,108.371507,107.941507,96.111507,82.481507
