"drtt1","drtt2","drtt3","drtt4","drtt5","drtt6","drtt7","drtt8","drtt9","drtt10"
10.5465206,5.2265206,16.2465206,12.4065206,22.8365206,0.1065206,15.9765206,3.7065206,9.0765206,7.6765206
9.7565206,19.7065206,10.3565206,18.3565206,5.0365206,6.3865206,16.6265206,9.0565206,12.2065206,13.2365206
13.6565206,9.2665206,14.5365206,0.1065206,6.3865206,5.0365206,6.6865206,18.3565206,11.8365206,19.7065206
0.1065206,16.2465206,5.2265206,12.2765206,11.6965206,26.4865206,15.9765206,9.0765206,10.5465206,7.6765206
12.2065206,9.0565206,6.3865206,7.6565206,0.1065206,11.8365206,13.2365206,6.6865206,19.7065206,5.0365206
16.6565206,16.2465206,19.9365206,15.3365206,4.0765206,3.4765206,14.0765206,6.3865206,11.1265206,16.5365206
5.0365206,12.2065206,16.6265206,9.2665206,19.7065206,10.3565206,18.3565206,14.5365206,13.6565206,11.8365206
0.1065206,9.6065206,5.3265206,4.3865206,9.4265206,7.2765206,6.9065206,11.3165206,23.2865206,8.3065206
12.2065206,6.3865206,9.7565206,11.8365206,10.3565206,19.7065206,9.2665206,14.5365206,16.6265206,13.2365206
4.3365206,24.6365206,8.7265206,4.1265206,6.9065206,7.2765206,9.6065206,9.4265206,5.3265206,5.0365206
10.5465206,9.0765206,15.9765206,3.7065206,7.6765206,11.6965206,26.4865206,22.8365206,0.1065206,4.5265206
17.1165206,19.1065206,15.9065206,17.3065206,23.2765206,3.4765206,18.6765206,16.3365206,15.3765206,6.5265206
4.3865206,8.3065206,0.1065206,8.7265206,2.7265206,14.6865206,7.2765206,4.3365206,4.1265206,5.3265206
17.3065206,14.6865206,3.4765206,13.1065206,0.1065206,16.3365206,11.9965206,15.9065206,18.6765206,23.2765206
0.1065206,18.3565206,11.8365206,13.6565206,7.6565206,16.6265206,5.0365206,9.2665206,13.2365206,12.2065206
13.9365206,12.0765206,14.0765206,4.0765206,16.2465206,13.4565206,11.1265206,13.4265206,19.9365206,11.3165206
6.6865206,11.1865206,24.9365206,11.5565206,26.2865206,6.6265206,8.6165206,15.9765206,12.9665206,4.3865206
12.2765206,15.9765206,3.7065206,26.4865206,4.5265206,10.5465206,7.6765206,12.4065206,5.1065206,7.6765206
19.1065206,16.6565206,11.5565206,7.6565206,6.1265206,7.9865206,28.9165206,25.2665206,0.1065206,7.2765206
12.4065206,0.1065206,22.8365206,15.9765206,10.5465206,5.2265206,3.7065206,26.4865206,12.2765206,16.6265206
