dat_id,per_id,age,gender,income,lic,mode,purpose,geoid_o,sampno,geoid_d,zid,dist,autoivtt,darivtt,walktt,costauto,sharedridecost,darefare,busfare,buswaitt,bustt,u_perid,emp,child16,hh_auto,av_auto,av_share,av_bus,av_dar,av_wk,weight
1,33,4,2,2,1,4,12,238,238,238,238,6.626318864,11.8,15.73333333,137.1666667,3.446348441,1.72317422,2.662631886,1,1,14.19925471,1,0,1,3,1,1,0,1,1,-99999
1,34,4,2,1,1,4,6,124,124,124,124,5.589869139,11.5,15.33333333,97.53333333,2.907290939,1.45364547,2.558986914,1,1,11.97829101,1,5,1,2,1,1,0,1,1,-99999
1,34,4,2,1,1,4,9,124,124,124,124,13.24021027,18.01666667,24.02222222,239.3333333,6.886233363,3.443116681,3.324021027,1,1,28.37187915,1,5,1,2,1,1,0,1,1,-99999
1,34,4,2,1,1,4,12,124,124,124,124,13.38064051,18.31666667,24.42222222,242.1,6.95927113,3.479635565,3.338064051,1,1,28.67280109,1,5,1,2,1,1,0,1,1,-99999
1,35,4,2,1,1,1,3,105,105,105,105,0.539351535,2.183333333,2.911111111,10.8,0.280516734,0.140258367,2.053935154,1,1,1.155753289,1,0,2,2,1,1,0,1,1,-99999
1,35,4,2,1,1,9,9,105,105,105,105,0.896019486,2.633333333,3.511111111,17.43333333,0.466019735,0.233009867,2.089601949,1,1,1.920041756,1,0,2,2,1,1,0,1,1,-99999
1,35,4,2,1,1,4,12,105,105,105,105,0.81275554,2.716666667,3.622222222,15.5,0.422714156,0.211357078,2.081275554,1,1,1.741619014,1,0,2,2,1,1,0,1,1,-99999
1,36,4,2,4,1,4,9,99999,99999,99999,99999,23.71034089,23.4,31.2,428.1333333,12.33174829,6.165874147,4.371034089,1,1,50.80787334,1,3,1,3,1,1,0,1,1,-99999
1,36,4,2,4,1,4,12,99999,99999,99999,99999,23.73581717,22.83333333,30.44444444,468.4166667,12.34499851,6.172499254,4.373581717,1,1,50.86246536,1,3,1,3,1,1,0,1,1,-99999
1,37,4,2,3,2,4,3,75,75,75,75,0.024233537,0.05,0.066666667,0.45,0.012603862,0.006301931,2.002423354,1,1,0.051929008,1,0,2,2,1,1,0,1,1,-99999
1,37,4,2,3,2,4,9,75,75,75,75,1.647880498,5.65,7.533333333,33.4,0.857062647,0.428531323,2.16478805,1,1,3.531172496,1,0,2,2,1,1,0,1,1,-99999
1,37,4,2,3,2,4,12,75,75,75,75,5.338834553,10.78333333,14.37777778,97.73333333,2.776727851,1.388363926,2.533883455,1,1,11.44035976,1,0,2,2,1,1,0,1,1,-99999
1,38,4,1,2,1,4,3,99999,99999,99999,99999,14.94836393,19.16666667,25.55555556,242.1833333,7.774644078,3.887322039,3.494836393,1,1,32.03220842,1,0,2,3,1,1,0,1,1,-99999
1,38,4,1,2,1,4,9,99999,99999,99999,99999,18.14532666,26.11666667,34.82222222,344.05,9.437384394,4.718692197,3.814532666,1,1,38.88284284,1,0,2,3,1,1,0,1,1,-99999
1,38,4,1,2,1,4,12,99999,99999,99999,99999,17.85079598,20.35,27.13333333,316.65,9.284198988,4.642099494,3.785079598,1,1,38.25170567,1,0,2,3,1,1,0,1,1,-99999
1,41,4,1,1,1,4,9,32,32,32,32,98.44843228,104.3333333,139.1111111,1852.4,51.20302963,25.60151481,11.84484323,1,1,210.9609263,1,6,2,2,1,1,0,1,0,-99999
1,41,4,1,1,1,4,12,32,32,32,32,1.987150012,5.083333333,6.777777778,39.4,1.033516721,0.516758361,2.198715001,1,1,4.258178597,1,6,2,2,1,1,0,1,0,-99999
1,42,4,2,7,1,4,3,62,62,62,62,2.243155579,6.583333333,8.777777778,44.63333333,1.166665217,0.583332608,2.224315558,1,1,4.806761955,1,0,99999,3,1,1,0,1,1,-99999
1,42,4,2,7,1,4,9,62,62,62,62,8.755141859,18.65,24.86666667,172.4166667,4.553549281,2.276774641,2.875514186,1,1,18.76101827,1,0,99999,3,1,1,0,1,1,-99999
1,43,4,2,2,2,1,12,32,32,32,32,2.230728125,5.6,7.466666667,44.08333333,1.160201698,0.580100849,2.223072813,1,1,4.780131696,1,3,1,1,0,1,0,1,1,-99999
1,44,4,2,1,1,4,9,61,61,61,61,1.795767209,4.55,6.066666667,33.5,0.933978525,0.466989263,2.179576721,1,1,3.848072591,1,6,2,2,1,1,0,1,0,-99999
1,44,4,2,1,1,4,12,61,61,61,61,3.47844458,8.583333333,11.44444444,66.78333333,1.809139026,0.904569513,2.347844458,1,1,7.453809814,1,6,2,2,1,1,0,1,0,-99999
1,46,4,1,2,1,4,3,200,200,200,200,1.682677371,3.583333333,4.777777778,33.21666667,0.875160501,0.43758025,2.168267737,1,1,3.605737224,1,0,2,2,1,1,0,1,1,-99999
1,46,4,1,2,1,4,9,200,200,200,200,4.592565897,10.8,14.4,88.7,2.388593523,1.194296761,2.45925659,1,1,9.841212636,1,0,2,2,1,1,0,1,1,-99999
1,46,4,1,2,1,4,12,200,200,200,200,0.638771173,1.7,2.266666667,12.75,0.332224887,0.166112444,2.063877117,1,1,1.368795371,1,0,2,2,1,1,0,1,1,-99999
1,48,4,1,1,2,9,9,325,325,325,325,6.816458921,13.38333333,17.84444444,131.85,3.545240285,1.772620142,2.681645892,1,1,14.60669769,1,6,2,1,0,1,0,1,0,-99999
1,48,4,1,1,2,9,12,325,325,325,325,6.259708949,10.95,14.6,120.65,3.255674624,1.627837312,2.625970895,1,1,13.41366203,1,6,2,1,0,1,0,1,0,-99999
1,49,4,2,1,2,9,9,252,252,252,252,2.073520822,4.666666667,6.222222222,40.65,1.07843818,0.53921909,2.207352082,1,1,4.443258904,1,6,2,1,0,1,0,1,0,-99999
1,49,4,2,1,2,4,12,252,252,252,252,1.96850883,4.6,6.133333333,38.91666667,1.023821442,0.511910721,2.196850883,1,1,4.218233207,1,6,2,1,1,1,0,1,0,-99999
1,50,4,1,2,2,9,9,41,41,41,41,1.421700821,4.266666667,5.688888889,23.1,0.739426597,0.369713299,2.142170082,1,1,3.046501759,1,0,2,1,0,1,0,1,1,-99999
1,51,4,2,1,1,9,9,252,252,252,252,2.073520822,4.666666667,6.222222222,40.65,1.07843818,0.53921909,2.207352082,1,1,4.443258904,1,3,1,1,1,1,0,1,1,-99999
1,52,4,2,1,2,9,9,44,44,44,44,0.502069171,2.883333333,3.844444444,9.316666667,0.261126176,0.130563088,2.050206917,1,1,1.075862509,1,3,1,1,0,1,0,1,1,-99999
1,52,4,2,1,2,9,12,44,44,44,44,1.751649745,5.6,7.466666667,35.13333333,0.911033032,0.455516516,2.175164975,1,1,3.753535168,1,3,1,1,0,1,0,1,1,-99999
1,53,4,2,1,2,9,9,101,101,101,101,0.56544919,1.583333333,2.111111111,10.95,0.294090124,0.147045062,2.056544919,1,1,1.211676836,1,99999,2,1,0,1,0,1,1,-99999
1,53,4,2,1,2,9,12,101,101,101,101,2.60665863,7.25,9.666666667,48.16666667,1.355723154,0.677861577,2.260665863,1,1,5.585697064,1,99999,2,1,0,1,0,1,1,-99999
1,54,4,2,1,2,9,9,50,50,50,50,1.970372948,4.75,6.333333333,32.01666667,1.02479097,0.512395485,2.197037295,1,1,4.222227746,1,6,2,1,0,1,0,1,0,-99999
1,54,4,2,1,2,9,12,50,50,50,50,2.972647172,8.516666667,11.35555556,59.25,1.546073794,0.773036897,2.297264717,1,1,6.369958226,1,6,2,1,0,1,0,1,0,-99999
1,55,4,2,1,1,9,9,48,48,48,48,3.081387401,7.816666667,10.42222222,53.43333333,1.602629587,0.801314794,2.30813874,1,1,6.602973002,1,6,2,1,0,1,0,1,0,-99999
1,55,4,2,1,1,9,12,48,48,48,48,3.09257211,9.033333333,12.04444444,61.86666667,1.608446755,0.804223377,2.309257211,1,1,6.626940236,1,6,2,1,0,1,0,1,0,-99999
1,56,4,1,1,1,4,12,40,40,40,40,2.803012415,7.75,10.33333333,55.61666667,1.457846757,0.728923379,2.280301242,1,1,6.006455175,1,0,2,3,1,1,0,1,1,-99999
1,58,4,2,3,1,4,3,86,86,86,86,8.193420905,12.51666667,16.68888889,119.4,4.261398213,2.130699106,2.819342091,1,1,17.55733051,1,0,2,2,1,1,0,1,1,-99999
1,58,4,2,3,1,4,9,86,86,86,86,9.34793145,14.13333333,18.84444444,146.2,4.861859147,2.430929574,2.934793145,1,1,20.03128168,1,0,2,2,1,1,0,1,1,-99999
1,58,4,2,3,1,4,12,86,86,86,86,6.791604012,7.566666667,10.08888889,111.1666667,3.532313246,1.766156623,2.679160401,1,1,14.55343717,1,0,2,2,1,1,0,1,1,-99999
1,60,4,1,2,99999,4,9,99999,99999,99999,99999,12.3733953,15.73333333,20.97777778,239.4,6.435402898,3.217701449,3.23733953,1,1,26.5144185,1,0,2,2,1,1,0,1,1,-99999
