"tt1","tt2","tt3","tt4","tt5","tt6","tt7","tt8","tt9","tt10"
0.1331507,61.4531507,71.5131507,59.7031507,94.3431507,93.1131507,131.3531507,65.7131507,56.6831507,78.9831507
94.8631507,93.6331507,115.9331507,119.5331507,0.1331507,196.6231507,102.6631507,96.6531507,124.8231507,108.4631507
314.5931507,314.8031507,196.6231507,288.9031507,336.5231507,291.9231507,207.7331507,293.6731507,325.3431507,288.9131507
130.0631507,196.6231507,102.6631507,115.9331507,124.8231507,141.2531507,17.9631507,93.6331507,95.6231507,98.4031507
128.9231507,0.1331507,107.2031507,81.3031507,117.7431507,24.7531507,103.6031507,90.3331507,207.7331507,48.7131507
71.5131507,94.3431507,24.7531507,59.7031507,61.4531507,104.3031507,57.9131507,37.0831507,0.1331507,78.9831507
107.2031507,81.3031507,207.7331507,81.3131507,84.3231507,24.7531507,106.7331507,48.7131507,0.1331507,94.9131507
57.9131507,53.0331507,288.9131507,38.7331507,187.9131507,13.7331507,81.3131507,82.7931507,50.2131507,50.8531507
50.8531507,82.7931507,50.2131507,94.8631507,57.9131507,187.9131507,36.5631507,38.7331507,35.2331507,40.5431507
38.7331507,82.7931507,50.2131507,53.0331507,57.9131507,64.6131507,288.9131507,0.1331507,35.2331507,36.5631507
43.1531507,88.1331507,0.1331507,119.5331507,213.8031507,53.0331507,56.8631507,91.6331507,52.2331507,314.8031507
207.7331507,314.8031507,101.1331507,288.9131507,302.5131507,196.6231507,0.1331507,288.9031507,336.5231507,293.6731507
48.8331507,108.4631507,94.9131507,40.9731507,52.3331507,0.1331507,56.8831507,37.8331507,28.1631507,13.7331507
117.7331507,48.7131507,128.9231507,17.9631507,106.7331507,24.7531507,86.0731507,103.6031507,0.1331507,81.3131507
224.3331507,117.7331507,32.7131507,92.8531507,70.4131507,121.3931507,82.7931507,68.2531507,130.0631507,93.1131507
62.7631507,79.1431507,213.5931507,88.8131507,38.7331507,47.3831507,96.5131507,124.8231507,103.2131507,0.1331507
93.5031507,93.1131507,32.7131507,68.2531507,58.7631507,36.5631507,92.8531507,82.7931507,121.3931507,0.1331507
45.2331507,59.8531507,64.6131507,103.2131507,36.5631507,56.6831507,288.9031507,81.3031507,0.1331507,93.6331507
224.3431507,187.9031507,192.6731507,213.8031507,213.5931507,131.3531507,235.5231507,196.9331507,101.1331507,95.6231507
288.9031507,56.8631507,88.8431507,36.5631507,81.3031507,0.1331507,93.6331507,84.4531507,187.9031507,85.1731507
187.9031507,155.3131507,0.1331507,213.5931507,224.3431507,235.5231507,106.7331507,95.6231507,101.1331507,196.9331507
28.1631507,108.4631507,302.5131507,43.1531507,11.7831507,15.6531507,48.8331507,40.2531507,71.5131507,0.1331507
13.7331507,36.5631507,0.1331507,57.9131507,25.5331507,187.9131507,40.5431507,288.9131507,82.7931507,50.2131507
50.6031507,92.8531507,42.2631507,47.3831507,84.4531507,0.1331507,71.6631507,224.3431507,40.2531507,131.2931507
102.6631507,297.9331507,196.9331507,32.6831507,50.2131507,60.9931507,90.3331507,37.8331507,35.6731507,65.7131507
58.7631507,224.3331507,325.3331507,93.5031507,130.0631507,121.3931507,36.5631507,0.1331507,42.3831507,92.8531507
94.8631507,50.8531507,81.3131507,13.7331507,25.5331507,36.5631507,64.6131507,24.1631507,40.5431507,35.2331507
40.2531507,28.1631507,11.7831507,37.8331507,15.6531507,94.9131507,71.5131507,52.3331507,40.9731507,13.7331507
187.9131507,94.8631507,0.1331507,25.5331507,82.7931507,36.5631507,50.2131507,38.7331507,40.5431507,24.1631507
37.0831507,24.7531507,94.3431507,78.9831507,65.7131507,56.6831507,131.3531507,96.5131507,82.5831507,61.4531507
187.9131507,82.7931507,24.1631507,40.5431507,50.2131507,57.9131507,288.9131507,36.5631507,64.6131507,13.7331507
325.3331507,58.7631507,117.8931507,42.3831507,224.3331507,82.7931507,52.5531507,68.2531507,93.5031507,36.5631507
102.6631507,85.3131507,24.3131507,32.7131507,60.2731507,60.9931507,196.9331507,297.9331507,32.6831507,9.8031507
224.3331507,325.3331507,121.3931507,68.2531507,32.7131507,93.5031507,52.5531507,42.3831507,92.8531507,70.4131507
288.9031507,256.3131507,0.1331507,314.5931507,325.3431507,311.2031507,336.5231507,302.5131507,314.8031507,207.7331507
96.5131507,24.7531507,56.6831507,82.5831507,71.5131507,78.9831507,59.7031507,61.4531507,37.0831507,104.3031507
58.4131507,91.6331507,64.1331507,103.2131507,62.7631507,47.3831507,73.2531507,121.3931507,0.1331507,79.1431507
82.5831507,50.3031507,59.7031507,93.1131507,78.9831507,0.1331507,65.7131507,24.7531507,71.5131507,104.3031507
