trip_id,on_id,off_id,od
6435,150,17,"(150, 17)"
6436,62,161,"(62, 161)"
6437,115,104,"(115, 104)"
6438,3,99,"(3, 99)"
6439,102,161,"(102, 161)"
6440,3,17,"(3, 17)"
6441,91,135,"(91, 135)"
6442,90,135,"(90, 135)"
6443,12,150,"(12, 150)"
6444,17,45,"(17, 45)"
6445,74,3,"(74, 3)"
6446,74,3,"(74, 3)"
6447,74,3,"(74, 3)"
6448,17,142,"(17, 142)"
6449,93,12,"(93, 12)"
6450,86,3,"(86, 3)"
6451,14,24,"(14, 24)"
6452,15,21,"(15, 21)"
6453,87,74,"(87, 74)"
6454,41,24,"(41, 24)"
6455,160,4,"(160, 4)"
6456,160,111,"(160, 111)"
6457,160,45,"(160, 45)"
6458,160,105,"(160, 105)"
6459,135,150,"(135, 150)"
6460,4,67,"(4, 67)"
6461,143,67,"(143, 67)"
6462,33,67,"(33, 67)"
6463,98,150,"(98, 150)"
6464,160,150,"(160, 150)"
6465,160,159,"(160, 159)"
6466,3,11,"(3, 11)"
6467,105,24,"(105, 24)"
6468,104,78,"(104, 78)"
6469,162,41,"(162, 41)"
6470,148,54,"(148, 54)"
6471,33,3,"(33, 3)"
6472,104,104,"(104, 104)"
6473,3,18,"(3, 18)"
6474,73,15,"(73, 15)"
6475,3,102,"(3, 102)"
6476,135,150,"(135, 150)"
6477,135,150,"(135, 150)"
6478,135,150,"(135, 150)"
6479,82,24,"(82, 24)"
6480,78,82,"(78, 82)"
6481,3,3,"(3, 3)"
6482,32,14,"(32, 14)"
6483,45,18,"(45, 18)"
6484,105,91,"(105, 91)"
6485,83,24,"(83, 24)"
6486,98,150,"(98, 150)"
6487,45,82,"(45, 82)"
6488,111,38,"(111, 38)"
6489,160,124,"(160, 124)"
6490,104,104,"(104, 104)"
6491,102,73,"(102, 73)"
6492,24,159,"(24, 159)"
6493,73,3,"(73, 3)"
6494,83,80,"(83, 80)"
6495,3,75,"(3, 75)"
6496,33,19,"(33, 19)"
6497,73,142,"(73, 142)"
6498,67,104,"(67, 104)"
6499,45,135,"(45, 135)"
6500,35,99,"(35, 99)"
6501,142,110,"(142, 110)"
6502,105,15,"(105, 15)"
6503,73,3,"(73, 3)"
6504,73,135,"(73, 135)"
6505,16,78,"(16, 78)"
6506,35,16,"(35, 16)"
6507,13,24,"(13, 24)"
6508,102,161,"(102, 161)"
6509,67,12,"(67, 12)"
6510,67,93,"(67, 93)"
6511,78,135,"(78, 135)"
6512,24,105,"(24, 105)"
6513,3,15,"(3, 15)"
6514,159,12,"(159, 12)"
6515,32,15,"(32, 15)"
6516,99,73,"(99, 73)"
6517,4,150,"(4, 150)"
6518,17,42,"(17, 42)"
6519,29,20,"(29, 20)"
6520,150,71,"(150, 71)"
6522,101,73,"(101, 73)"
6523,135,91,"(135, 91)"
6524,18,3,"(18, 3)"
6525,3,74,"(3, 74)"
6526,41,142,"(41, 142)"
6527,4,12,"(4, 12)"
6529,3,142,"(3, 142)"
6530,104,41,"(104, 41)"
6531,73,45,"(73, 45)"
6532,73,101,"(73, 101)"
6533,161,15,"(161, 15)"
6534,111,4,"(111, 4)"
6535,111,18,"(111, 18)"
6536,33,18,"(33, 18)"
6537,111,80,"(111, 80)"
6538,13,159,"(13, 159)"
6539,15,159,"(15, 159)"
6540,15,135,"(15, 135)"
6541,73,123,"(73, 123)"
6542,23,45,"(23, 45)"
6543,23,45,"(23, 45)"
6544,23,45,"(23, 45)"
6545,23,45,"(23, 45)"
6546,40,4,"(40, 4)"
